čoavdalattai	čoavdalit+V+TV+Der/adda+V+Ind+Prt+Sg3
čuolddahattai	čuolddahit+V+TV+Der/adda+V+Ind+Prt+Sg3
čuolddahalai	čuolddahit+V+TV+Der/alla+V+Ind+Prt+Sg3
čallalattai	čallat+V+TV+Der/l+V+Der/adda+V+Ind+Prt+Sg3
čallalattai	čallaladdat+V+TV+Ind+Prt+Sg3
čallalattai	čallalit+V+TV+Der/adda+V+Ind+Prt+Sg3
čalahattai	čallat+V+TV+Der/h+V+Der/adda+V+Ind+Prt+Sg3
čalahattai	čalahit+V+TV+Der/adda+V+Ind+Prt+Sg3
čalahalai	čallat+V+TV+Der/halla+V+Ind+Prt+Sg3
čalahalai	čallat+V+TV+Der/h+V+Der/alla+V+Ind+Prt+Sg3
čalahalai	čalahit+V+TV+Der/alla+V+Ind+Prt+Sg3
čalastattai	čallat+V+TV+Der/st+V+Der/adda+V+Ind+Prt+Sg3
čalastattai	čalastit+V+TV+Der/adda+V+Ind+Prt+Sg3
čalastattai	čalastaddat+V+TV+Ind+Prt+Sg3
čalastalai	čallat+V+TV+Der/st+V+Der/alla+V+Ind+Prt+Sg3
čalastalai	čalastit+V+TV+Der/alla+V+Ind+Prt+Sg3
čalastalai	čalastallat+V+TV+Ind+Prt+Sg3
cabai	cahpat+V+TV+Ind+Prt+Sg3
damai	dapmat+V+IV+Ind+Prt+Sg3
gajai	gadjat+V+IV+Ind+Prt+Sg3
galggai	galgat+V+IV+Ind+Prt+Sg3
garai	garrat+V+IV+Ind+Prt+Sg3
lanjai	latnjat+V+TV+Ind+Prt+Sg3
njamai	njammat+V+TV+Ind+Prt+Sg3
nalai	nallat+V+TV+Ind+Prt+Sg3
rasai	rassat+V+IV+Ind+Prt+Sg3
ravddai	ravdat+V+IV+Ind+Prt+Sg3
sagai	sahkat+V+IV+Ind+Prt+Sg3
sagai	saga+N+Sg+Ill
sažai	sahčat+V+TV+Ind+Prt+Sg3
vanai	vatnat+V+IV+Ind+Prt+Sg3
