ABC-Company	ABC#Company
ABC-girji	ABC#girji
ABM-ovddidemiin	ABM#ovddidit
ABM-ovdáneami	ABM#ovdáneapmi
ABM-ovdáneami	ABM#ovdánit
AGM-ovdáneapmi	AGM#ovdáneapmi
AGM-ovdáneapmi	AGM#ovdánit
AUF-nuoraid	AUF#nuorra
Adopterenvirgelohpi	adopteret#virge#lohpi
Adopterenvirgelohpi	adopteret#virgi#lohpi
Advokáhttasearvi	advokáhta#searvi
Agivuloš	ahki#vuloš
Ahkejoavkkuid	ahke#joavku
Ahkejoavkkuid	ahki#joavku
Ahkejoavkkus	ahke#joavku
Ahkejoavkkus	ahki#joavku
Ahkejoavku	ahke#joavku
Ahkejoavku	ahki#joavku
Ahkejuogustus	ahki#juogustus
Aktivitehtadoarjja	aktivitehta#doarjja
Akvakultuvra	akva#kultuvra
Alimusriekti	alimus#riekti
Alimusriekti	allat#riekti
Alimusriektái	alimus#riekti
Alimusriektái	allat#riekti
Alimusrievtti	alimus#riekti
Alimusrievtti	allat#riekti
Alimusrievttiduomut	alimus#riekti#duopmu
Alimusrievttiduomut	allat#riekti#duopmu
Alimusrievttis	alimus#riekti
Alimusrievttis	allat#riekti
Alitoahpu	alit#oahppu
Alitstálloriika	alit#stállu#riika
Alitstálloriikkas	alit#stállu#riika
Alitvári	alit#várri
Alitčohka	alit#čohkka
Allaskuvla	alas#kuvla
Allaskuvla	alla#skuvla
Allaskuvla	allat#skuvla
Allaskuvlii	alas#kuvla
Allaskuvlii	alla#skuvla
Allaskuvlii	allat#skuvla
Allaskuvlla	alas#kuvla
Allaskuvlla	alas#kuvlla
Allaskuvlla	alla#skuvla
Allaskuvlla	allat#skuvla
Allaskuvllain	alas#kuvla
Allaskuvllain	alas#kuvlla
Allaskuvllain	alla#skuvla
Allaskuvllain	allat#skuvla
Allaskuvllas	alas#kuvla
Allaskuvllas	alas#kuvlla
Allaskuvllas	alla#skuvla
Allaskuvllas	allat#skuvla
Almmolašvuođalága	almmolaš#lága
Almmolašvuođalága	almmolaš#láhka
Almmolašvuođalága	almmolašvuohta#lága
Almmolašvuođalága	almmolašvuohta#láhka
Almmolašvuođalága	almmolašvuođa#láhka
Almmolašvuođaláhka	almmolaš#láhka
Almmolašvuođaláhka	almmolaš#láhkka
Almmolašvuođaláhka	almmolašvuohta#láhka
Almmolašvuođaláhka	almmolašvuohta#láhkka
Almmolašvuođaláhka	almmolašvuođa#láhka
Almmuhankoda	almmuheapmi#koda
Almmuhankoda	almmuhit#koda
Almmáiolmmoš	almmái#olmmoš
Analysajoavkku	analysa#joavku
Ane-Marthe	Ane#Marthe
Anna-Eva	Ann#Eva
Anna-Eva	Anna#Eva
Anna-Liisa	Ann#Liisa
Anna-Liisa	Anna#Liisa
Anárašgiela	anáraš#giella
Anárašgillii	anáraš#giella
Appfjell-Eira	Appfjell#Eira
Areálagažaldagat	areála#gažaldat
Areálagáhttenbarggu	areála#gáhttet#bargu
Areálahálddaheapmi	areála#hálddahit
Areálahálddašeapmi	areála#hálddašeapmi
Areálahálddašeapmi	areála#hálddašit
Areálapolitihkka	areála#politihkka
