njalggastalai	njalgat+V+IV+Der/st+V+Der/alla+V+Ind+Prt+Sg3
nalastahtii	nallat+V+TV+Der/st+V+Der/ahtti+V+TV+Ind+Prt+Sg3
oađđastalai	oađđastallat+V+IV+Ind+Prt+Sg3
riehkadalai	riehkadallat+V+IV+Ind+Prt+Sg3
rikkastattai	riggat+V+IV+Der/st+V+Der/adda+V+Ind+Prt+Sg3
rikkastalai	riggat+V+IV+Der/st+V+Der/alla+V+Ind+Prt+Sg3
rađastattai	rahtat+V+TV+Der/st+V+Der/adda+V+Ind+Prt+Sg3
rađastattai	rađastit+V+TV+Der/adda+V+Ind+Prt+Sg3
rađastalai	rahtat+V+TV+Der/st+V+Der/alla+V+Ind+Prt+Sg3
rađastalai	rađastit+V+TV+Der/alla+V+Ind+Prt+Sg3
searvadattai	searvadit+V+IV+Der/adda+V+Ind+Prt+Sg3
searvadalai	searvadit+V+IV+Der/alla+V+Ind+Prt+Sg3
skivnnjastahtii	skivnnjastahttit+V+IV+Ind+Prt+Sg3
snahpastalai	snahpastit+V+IV+Der/alla+V+Ind+Prt+Sg3
soappastattai	soappastit+V+IV+Der/adda+V+Ind+Prt+Sg3
soappastalai	soappastit+V+IV+Der/alla+V+Ind+Prt+Sg3
valastalai	valastit+V+TV+Der/alla+V+Ind+Prt+Sg3
vuoddjastalai	vuoddjastallat+V+IV+Ind+Prt+Sg3
vuodjalattai	vuodjat+V+IV+Der/l+V+Der/adda+V+Ind+Prt+Sg3
vuodjalattai	vuodjalit+V+IV+Der/adda+V+Ind+Prt+Sg3
vuojastattai	vuodjat+V+IV+Der/st+V+Der/adda+V+Ind+Prt+Sg3
vuojastalai	vuodjat+V+IV+Der/st+V+Der/alla+V+Ind+Prt+Sg3
arvvastattai	arvat+V+IV+Der/st+V+Der/adda+V+Ind+Prt+Sg3
arvvastalai	arvat+V+IV+Der/st+V+Der/alla+V+Ind+Prt+Sg3
čavganattai	čavganaddat+V+IV+Ind+Prt+Sg3
čavganattai	čavganit+V+IV+Der/adda+V+Ind+Prt+Sg3
čeavllastalai	čeavllastallat+V+IV+Ind+Prt+Sg3
čuoimmastattai	čuoimmastit+V+TV+Der/adda+V+Ind+Prt+Sg3
čuoimmastalai	čuoimmastit+V+TV+Der/alla+V+Ind+Prt+Sg3
čuoimmastalai	čuoimmastallat+V+IV+Ind+Prt+Sg3
čuovggahattai	čuovgat+V+TV+Der/h+V+Der/adda+V+Ind+Prt+Sg3
čuovggahattai	čuovggahit+V+TV+Der/adda+V+Ind+Prt+Sg3
čuovggahalai	čuovgat+V+TV+Der/halla+V+Ind+Prt+Sg3
čuovggahalai	čuovgat+V+TV+Der/h+V+Der/alla+V+Ind+Prt+Sg3
čuovggahalai	čuovggahit+V+TV+Der/alla+V+Ind+Prt+Sg3
bahrai	bahrrat+V+IV+Ind+Prt+Sg3
bahrai	bahraidit+V+IV+VGen
dagai	dahkat+V+TV+Ind+Prt+Sg3
darai	darrat+V+IV+Ind+Prt+Sg3
darai	daraidit+V+IV+VGen
gahčai	gahččat+V+IV+Ind+Prt+Sg3
lattai	laddat+V+IV+Ind+Prt+Sg3
njagai	njahkat+V+IV+Ind+Prt+Sg3
njaŋggai	njaŋgat+V+IV+Ind+Prt+Sg3
ragai	rahkat+V+TV+Ind+Prt+Sg3
rađai	rahtat+V+TV+Ind+Prt+Sg3
asttai	astat+V+TV+Ind+Prt+Sg3
čalggai	čalgat+V+IV+Ind+Prt+Sg3
njalddii	njaldit+V+TV+Ind+Prt+Sg3
spaigii	spaiget+V+TV+Ind+Prt+Sg3
