dieđan	dieđa+N+Ess
bahtarahtan	bahta+N+SgNomCmp+Cmp#rahtat+V+TV+Der/n+N+Sg+Nom
bahtarahtan	bahta+N+SgNomCmp+Cmp#rahtat+V+TV+Der/n+N+Sg+Gen
eahpegudnejahtan	eahpe#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Nom
eahpegudnejahtan	eahpe#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Gen
eahpegudnejahtan	eahpe+N+CmpNP/Pref+Cmp#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Nom
eahpegudnejahtan	eahpe+N+CmpNP/Pref+Cmp#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Gen
eahpegudnejahtan	eahpe#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Nom
eahpegudnejahtan	eahpe#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Gen
eahpegudnejahtan	eahpe#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Nom
eahpegudnejahtan	eahpe#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Gen
eahpegudnejahtan	eahpe+N+CmpNP/Pref+Cmp#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Nom
eahpegudnejahtan	eahpe+N+CmpNP/Pref+Cmp#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Gen
eahpegudnejahtan	eahpe#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Nom
eahpegudnejahtan	eahpe#gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Gen
goapmarahtan	goapma+N+SgNomCmp+Cmp#rahtat+V+TV+Der/n+N+Sg+Nom
goapmarahtan	goapma+N+SgNomCmp+Cmp#rahtat+V+TV+Der/n+N+Sg+Gen
gudnejahtan	gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Nom
gudnejahtan	gudni+N+SgNomCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Gen
gudnijahtan	gudni+N+SgGenCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Nom
gudnijahtan	gudni+N+SgGenCmp+Cmp#jahtat+V+TV+Der/n+N+Sg+Gen
hahparahtan	habas+A+Attr+Cmp#rahtat+V+TV+Der/n+N+Sg+Nom
hahparahtan	habas+A+Attr+Cmp#rahtat+V+TV+Der/n+N+Sg+Gen
suoladuhtan	suola+Sem/Hum+N+SgNomCmp+Cmp#duhtat+V+IV+Der/n+N+Sg+Nom
suoladuhtan	suola+Sem/Hum+N+SgNomCmp+Cmp#duhtat+V+IV+Der/n+N+Sg+Gen
čagarduhtan	čagar+N+SgNomCmp+Cmp#duhtat+V+IV+Der/n+N+Sg+Nom
čagarduhtan	čagar+N+SgNomCmp+Cmp#duhtat+V+IV+Der/n+N+Sg+Gen
baikkahattan	baikkahaddat+V+IV+Ind+Prs+Sg1
baikkahalan	baikkahallat+V+IV+Ind+Prs+Sg1
basastattan	bassat+V+TV+Der/st+V+Der/adda+V+Ind+Prs+Sg1
basastattan	basastit+V+TV+Der/adda+V+Ind+Prs+Sg1
basastattan	basastaddat+V+TV+Ind+Prs+Sg1
basastalan	bassat+V+TV+Der/st+V+Der/alla+V+Ind+Prs+Sg1
basastalan	basastit+V+TV+Der/alla+V+Ind+Prs+Sg1
basastalan	basastallat+V+TV+Ind+Prs+Sg1
beaitalattan	beaitalit+V+TV+Der/adda+V+Ind+Prs+Sg1
beaktilastan	beaktil+A+SgGenCmp+Cmp#astat+V+TV+Der/n+N+Sg+Nom
beaktilastan	beaktil+A+SgGenCmp+Cmp#astat+V+TV+Der/n+N+Sg+Gen
beaktilastan	beaktil+A+SgNomCmp+Cmp#astat+V+TV+Der/n+N+Sg+Nom
beaktilastan	beaktil+A+SgNomCmp+Cmp#astat+V+TV+Der/n+N+Sg+Gen
bivdalattan	bivdaladdat+V+TV+Ind+Prs+Sg1
bivdalattan	bivdalit+V+TV+Der/adda+V+Ind+Prs+Sg1
boktalattan	boktaladdat+V+TV+Ind+Prs+Sg1
boktalattan	boktalit+V+TV+Der/adda+V+Ind+Prs+Sg1
botrehttehan	botrehttet+V+TV+VGen+Foc/han
botrehttehan	botrehttet+V+TV+Ind+Prs+Sg3+Foc/han
botrehttehan	botrehttet+V+TV+Ind+Prs+ConNeg+Foc/han
botrehttehan	botrehttet+V+TV+Der/h+V+PrfPrc
botrehttehan	botrehttet+V+TV+Der/h+V+Ind+Prs+Sg1
botrehttehan	botrehttet+V+TV+Der/h+V+Der/eapmi+N+Sg+Gen
botrehttehan	botrehttet+V+TV+Der/h+V+Actio+Acc
botrehttehan	botrehttet+V+TV+Der/h+V+Actio+Gen
botrehttehan	botrehttet+V+TV+Der/h+V+Actio+Nom
buollahattan	buollahit+V+TV+Der/adda+V+Ind+Prs+Sg1
buollahalan	buollahit+V+TV+Der/alla+V+Ind+Prs+Sg1
buovččahalan	buokčat+V+IV+Der/h+V+Der/alla+V+Ind+Prs+Sg1
buovččahalan	buovččahit+V+TV+Der/alla+V+Ind+Prs+Sg1
baggestalan	bagget+V+TV+Der/st+V+Der/alla+V+Ind+Prs+Sg1
cahpalattan	cahpat+V+TV+Der/l+V+Der/adda+V+Ind+Prs+Sg1
farvelledan	farvellet+V+TV+Der/d+V+PrfPrc
farvelledan	farvellet+V+TV+Der/d+V+Ind+Prs+Sg1
farvelledan	farvellet+V+TV+Der/d+V+Der/eapmi+N+Sg+Gen
farvelledan	farvellet+V+TV+Der/d+V+Actio+Acc
farvelledan	farvellet+V+TV+Der/d+V+Actio+Gen
farvelledan	farvellet+V+TV+Der/d+V+Actio+Nom
farvelledan	farvellet+V+TV+Der/d+V+PrfPrc
farvelledan	farvellet+V+TV+Der/d+V+Ind+Prs+Sg1
farvelledan	farvellet+V+TV+Der/d+V+Der/eapmi+N+Sg+Gen
farvelledan	farvellet+V+TV+Der/d+V+Actio+Acc
farvelledan	farvellet+V+TV+Der/d+V+Actio+Gen
farvelledan	farvellet+V+TV+Der/d+V+Actio+Nom
geahpadalan	geahpadit+V+TV+Der/alla+V+Ind+Prs+Sg1
geahpadalan	geahpadallat+V+TV+Ind+Prs+Sg1
geassastalan	geassastit+V+TV+Der/alla+V+Ind+Prs+Sg1
geasahattan	geasahaddat+V+TV+Ind+Prs+Sg1
geasahalan	geasahallat+V+TV+Ind+Prs+Sg1
gielastattan	giellat+V+TV+Der/st+V+Der/adda+V+Ind+Prs+Sg1
gielastalan	giellat+V+TV+Der/st+V+Der/alla+V+Ind+Prs+Sg1
gomahalan	gopmat+V+IV+Der/h+V+Der/alla+V+Ind+Prs+Sg1
guottahattan	guottahaddat+V+IV+Ind+Prs+Sg1
guottahalan	guottahallat+V+IV+Ind+Prs+Sg1
hiŋgalastan	hiŋggal+N+SgGenCmp+Cmp#astat+V+TV+Der/n+N+Sg+Nom
hiŋgalastan	hiŋggal+N+SgGenCmp+Cmp#astat+V+TV+Der/n+N+Sg+Gen
lagadattan	lagadit+V+TV+Der/adda+V+Ind+Prs+Sg1
lagadalan	lagadit+V+TV+Der/alla+V+Ind+Prs+Sg1
mieđahattan	miehtat+V+TV+Der/h+V+Der/adda+V+Ind+Prs+Sg1
mieđahalan	miehtat+V+TV+Der/halla+V+Ind+Prs+Sg1
mieđahalan	miehtat+V+TV+Der/h+V+Der/alla+V+Ind+Prs+Sg1
oastalattan	oastaladdat+V+TV+Ind+Prs+Sg1
oastalattan	oastalit+V+TV+Der/adda+V+Ind+Prs+Sg1
potrehttehan	potrehttet+V+TV+VGen+Foc/han
potrehttehan	potrehttet+V+TV+Ind+Prs+Sg3+Foc/han
potrehttehan	potrehttet+V+TV+Ind+Prs+ConNeg+Foc/han
potrehttehan	potrehttet+V+TV+Der/h+V+PrfPrc
