duolmmástuvvá	duolmmástuvvat+V+IV+Ind+Prs+Sg3
čuogástuvvá	čuogástuvvat+V+IV+Ind+Prs+Sg3
bállá	bállit+V+IV+Ind+Prs+Sg3
árvvosmuhttá	árvvosmuvvat+V+IV+Der/ahtti+V+TV+Ind+Prs+Sg3
árvvuhuhttá	árvu+N+Der/huhtti+V+TV+Ind+Prs+Sg3
árvvuhuhttá	árvvuheapme+A+Der/huhtti+V+TV+Ind+Prs+Sg3
ásehuhttá	áse+Sem/Ani+N+Der/huhtti+V+TV+Ind+Prs+Sg3
ollášuhttá	ollášuhttit+V+TV+Ind+Prs+Sg3
suivvástuhttá	suivvástuvvat+V+IV+Der/ahtti+V+TV+Ind+Prs+Sg3
suivvástuhttá	suivvástuhttit+V+TV+Ind+Prs+Sg3
dihtorástá	dihto+A+Attr+Cmp#rásttis+Sem/Ani+N+Sg+Gen
dihtorástá	dihto+A+Attr+Cmp#rásttis+Sem/Ani+N+Sg+Acc
fárvelledá	fárvelledit+V+TV+Ind+Prs+Sg3
báhčá	báhčit+V+TV+Ind+Prs+Sg3
ástá	ástat+V+IV+Ind+Prs+Sg3
cáhpá	cáhpat+V+TV+Ind+Prs+Sg3
dáhká	dáhkat+V+IV+Ind+Prs+Sg3
dáhká	dáhkká+N+Sg+Gen
dáhká	dáhkká+N+Sg+Acc
dássá	dássá+Adv
gáhkká	gáhkká+N+Sg+Nom
látnjá	látnjat+V+TV+Ind+Prs+Sg3
látnjá	látnjá+N+Sg+Nom
nállá	nállat+V+TV+Ind+Prs+Sg3
ráhká	ráhkat+V+IV+Ind+Prs+Sg3
ráhká	ráhkká+Sem/Ani+N+Sg+Gen
ráhká	ráhkká+Sem/Ani+N+Sg+Acc
ráhpá	ráhppá+N+Sg+Gen
ráhpá	ráhppá+N+Sg+Acc
ráhtá	ráhtat+V+IV+Ind+Prs+Sg3
sáhčá	sáhčat+V+TV+Ind+Prs+Sg3
skátná	skátná+N+Sg+Nom
čállá	čállit+V+TV+Ind+Prs+Sg3
čátná	čátná+N+Sg+Nom
