dikta	dikta+N+Sg+Nom
arvvosmahtta	arvu+N+SgGenCmp+Cmp#smahtta+N+Sg+Nom
borralahtta	borra+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
deaddilahtta	deaddit+V+TV+Actor+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
deaddilahtta	deaddit+V+TV+Actor+N+SgGenCmp+Cmp#lahtta+N+Sg+Nom
dearvvasmahtta	dearvahat+N+SgNomCmp+Cmp#smahtta+N+Sg+Nom
doapmalahtta	doapma+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
ealasmahtta	eala+Sem/Ani+N+SgNomCmp+Cmp#smahtta+N+Sg+Nom
gievrrasmahtta	gievra+Sem/Hum+N+SgGenCmp+Cmp#smahtta+N+Sg+Nom
gievrrasmahtta	gievra+A+SgGenCmp+Cmp#smahtta+N+Sg+Nom
guossalahtta	guossa+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
heajosmahtta	headju+Sem/Hum+Sem/Ani+N+SgGenCmp+Cmp#smahtta+N+Sg+Nom
hearvasmahtta	hearva+N+SgNomCmp+Cmp#smahtta+N+Sg+Nom
nanusmahtta	nanus+A+Attr+Cmp#smahtta+N+Sg+Nom
njuorasmahtta	njuorra+N+SgGenCmp+Cmp#smahtta+N+Sg+Nom
nuorasmahtta	nuorra+Sem/Hum+N+SgGenCmp+Cmp#smahtta+N+Sg+Nom
nuorasmahtta	nuorra+A+SgGenCmp+Cmp#smahtta+N+Sg+Nom
roahkasmahtta	roahka+N+SgNomCmp+Cmp#smahtta+N+Sg+Nom
ruohčalahtta	ruohča+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
skillalahtta	skilla+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
vakŋalahtta	vakŋa+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
vuodjalahtta	vuodja+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
vuodjalahtta	vuodja+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
arvvosmahtta	arvu+N+SgGenCmp+Cmp#smahtta+N+Sg+Nom
čuovvulahtta	čuovvu+Sem/Hum+Sem/Ani+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
čuovvulahtta	čuovvu+Sem/Hum+Sem/Ani+N+SgGenCmp+Cmp#lahtta+N+Sg+Nom
čuovvulahtta	čuovvut+V+TV+Actor+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
čuovvulahtta	čuovvut+V+TV+Actor+N+SgGenCmp+Cmp#lahtta+N+Sg+Nom
šieđđalahtta	šieđđa+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
šnjirralahtta	šnjirra+N+SgNomCmp+Cmp#lahtta+N+Sg+Nom
botrehtteha	botrehttet+V+TV+Der/h+V+Ind+Prs+Sg3
cavgilasta	cavgit+V+TV+Actor+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
cavgilasta	cavgit+V+TV+Actor+N+SgGenCmp+Cmp#lasta+N+Sg+Nom
farvelleda	farvellet+V+TV+Der/d+V+Ind+Prs+Sg3
farvelleda	farvellet+V+TV+Der/d+V+Ind+Prs+Sg3
goartalasta	goarta+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
gohpalasta	gohppa+N+SgGenCmp+Cmp#lasta+N+Sg+Nom
heahkelasta	heahki+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
heahkkalasta	heahkas+A+Attr+Cmp#lasta+N+Sg+Nom
koartalasta	koarta+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
latnjalasta	latnja+Sem/Plc+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
potrehtteha	potrehttet+V+TV+Der/h+V+Ind+Prs+Sg3
skohtalasta	skohtta+N+SgGenCmp+Cmp#lasta+N+Sg+Nom
spakkelasta	spaggi+N+SgGenCmp+Cmp#lasta+N+Sg+Nom
sullalasta	sulla+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
suohpalasta	suohpa+Sem/Plc+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
vuollalasta	vuolla+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
vuostalasta	vuostá+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
vuošša	vuoššat+V+TV+VGen
vuošša	vuoššat+V+TV+Imprt+Sg2
vuošša	vuoššat+V+TV+Imprt+ConNeg
vuošša	vuoššat+V+TV+Ind+Prs+ConNeg
vahkolasta	vahkku+Sem/Time+N+SgGenCmp+Cmp#lasta+N+Sg+Nom
arvalasta	arva+N+SgNomCmp+Cmp#lasta+N+Sg+Nom
čolgadeasta	čolga+N+SgNomCmp+Cmp#deasta+N+Sg+Nom
čorbmadeasta	čorbma+N+SgNomCmp+Cmp#deasta+N+Sg+Nom
čuolbmadeasta	čuolbma+N+SgNomCmp+Cmp#deasta+N+Sg+Nom
bahča	bahča+A+Sg+Nom
bahča	bahča+A+Attr
vuodja	vuodja+N+Sg+Nom
oahppa	oahppa+N+Sg+Nom
asehušša	assi+N+SgGenCmp+Cmp#hušša+N+Sg+Nom
borga	borga+Sem/Wthr+N+Sg+Nom
borra	borra+N+Sg+Nom
cissa	cissa+G3+N+Sg+Nom
cissa	cissa+G3+N+Sg+Gen
cissa	cissa+G3+N+Sg+Acc
cissa	cissat+V+TV+VGen
cissa	cissat+V+TV+Imprt+Sg2
cissa	cissat+V+TV+Imprt+ConNeg
cissa	cissat+V+TV+Ind+Prs+ConNeg
doaba	doaba+N+Sg+Nom
doaba	doabat+V+TV+VGen
doaba	doabat+V+TV+Imprt+Sg2
doaba	doabat+V+TV+Imprt+ConNeg
doaba	doabat+V+TV+Ind+Prs+ConNeg
duohpa	duohppa+N+Sg+Gen
duohpa	duohppa+N+Sg+Acc
duđđa	duđđa+N+Sg+Nom
fuolla	fuolla+N+Sg+Nom
gahča	gahččat+V+IV+VGen
gahča	gahččat+V+IV+Imprt+Sg2
gahča	gahččat+V+IV+Imprt+ConNeg
gahča	gahččat+V+IV+Ind+Prs+ConNeg
gazza	gazza+N+Sg+Nom
giella	giella+N+Sg+Nom
gierra	gierra+N+Sg+Nom
goahca	goahca+N+Sg+Nom
goarka	goarka+N+Sg+Nom
gohpa	gohppa+N+Sg+Gen
gohpa	gohppa+N+Sg+Acc
goksa	goksa+N+Sg+Nom
gožža	gožža+N+Sg+Nom
gulca	gulca+N+Sg+Nom
guohpa	guohpa+N+Sg+Nom
guorra	guorra+N+Sg+Nom
guovla	guovla+N+Sg+Nom
gužža	gužža+N+Sg+Nom
gadja	gadja+N+Sg+Nom
garra	garas+A+Attr
garra	garra+N+Sg+Nom
hoahka	hoahkka+Sem/Ani+N+Sg+Gen
hoahka	hoahkka+Sem/Ani+N+Sg+Acc
hoahka	hoahka+N+Sg+Nom
hoalla	hoalla+N+Sg+Nom
huhpa	huhppa+Sem/Ani+N+Sg+Gen
huhpa	huhppa+Sem/Ani+N+Sg+Acc
hupma	hupma+N+Sg+Nom
javza	javza+N+Sg+Nom
jolla	jolla+G3+N+Sg+Nom
jolla	jolla+G3+N+Sg+Gen
jolla	jolla+G3+N+Sg+Acc
lahca	lahca+N+Sg+Nom
lahpa	lahpa+N+Sg+Nom
latnja	latnja+Sem/Plc+N+Sg+Nom
leaiba	leat+V+IV+Ind+Prt+Sg3+Foc/ba
lohka	lohka+N+Sg+Nom
lohka	lohkka+N+Sg+Gen
lohka	lohkka+N+Sg+Acc
latnja	latnja+Sem/Plc+N+Sg+Nom
mašinlohka	mašiidna+N+SgNomCmp+Cmp#lohka+N+Sg+Nom
mašinlohka	mašiidna+N+SgNomCmp+Cmp#lohkka+N+Sg+Gen
mašinlohka	mašiidna+N+SgNomCmp+Cmp#lohkka+N+Sg+Acc
mearra	mearra+N+Sg+Nom
meassa	meassat+V+TV+VGen
meassa	meassat+V+TV+Imprt+Sg2
meassa	meassat+V+TV+Imprt+ConNeg
meassa	meassat+V+TV+Ind+Prs+ConNeg
miehta	miehta+N+Sg+Nom
molla	molla+G3+N+Sg+Nom
molla	molla+G3+N+Sg+Gen
molla	molla+G3+N+Sg+Acc
madda	madda+N+Sg+Nom
njiella	njiella+N+Sg+Nom
njuohpa	njuohpa+Sem/Wthr+N+Sg+Nom
njuohpa	njuohpa+A+Sg+Nom
njuohpa	njuohpa+A+Attr
njuohpa	njuohppat+V+IV+VGen
njuohpa	njuohppat+V+IV+Imprt+Sg2
njuohpa	njuohppat+V+IV+Imprt+ConNeg
njuohpa	njuohppat+V+IV+Ind+Prs+ConNeg
nuorra	nuorra+Sem/Hum+N+Sg+Nom
nuorra	nuorra+A+Sg+Nom
nuorra	nuorra+A+Attr
ohca	ohca+N+Sg+Nom
rihpa	rihpa+N+Sg+Nom
rista	rista+N+Sg+Nom
roahkka	roahkka+Adv
russa	russa+Sem/Hum+N+Sg+Nom
russa	russa+Sem/Hum+N+Sg+Gen
russa	russa+Sem/Hum+N+Sg+Acc
rassa	rassa+N+Sg+Nom
ravda	ravda+N+Sg+Nom
sealla	sealla+G3+N+Sg+Nom
sealla	sealla+G3+N+Sg+Gen
sealla	sealla+G3+N+Sg+Acc
sealla	sealla+N+Sg+Nom
sierra	sierra+A+Attr
sierra	sierra+Adv
sihta	siđas+A+Attr
sihta	sihta+N+Sg+Nom
skadja	skadja+N+Sg+Nom
snuogga	snuogga+Sem/Hum+Sem/Ani+N+Sg+Nom
spagga	spagga+Adv
spagga	spakkas+A+Attr
spahča	spahča+N+Sg+Nom
spatna	spanas+A+Attr
spealla	spealla+N+Sg+Nom
suovva	suovva+Sem/Build+N+Sg+Nom
salla	salla+N+Sg+Nom
vuolla	vuolla+N+Sg+Nom
ahta	ahttat+V+IV+VGen
ahta	ahttat+V+IV+Imprt+Sg2
ahta	ahttat+V+IV+Imprt+ConNeg
ahta	ahttat+V+IV+Ind+Prs+ConNeg
čalla	čalas+A+Attr
čavga	čavgat+A+Attr
čavga	čavga+Adv
čiehka	čiehka+N+Sg+Nom
čohka	čogas+A+Attr
čohka	čohkka+N+Sg+Gen
čohka	čohkka+N+Sg+Acc
čolga	čolga+N+Sg+Nom
čorbma	čorbma+N+Sg+Nom
čuolbma	čuolbma+N+Sg+Nom
čuopma	čuopma+N+Sg+Nom
čuovga	čuovga+N+Sg+Nom
