buorránesttii	buorráneastit+V+IV+Ind+Prt+Sg3
duhkoráhtii	duogur+N+SgGenCmp+Cmp#áhta+N+Sg+Ill
duhkoráhtii	duhkku+N+SgGenCmp+Cmp#ráhta+N+Sg+Ill
mánástáhtii	mánná+Sem/Hum+N+SgGenCmp+Cmp#stáhta+Sem/Org+N+Sg+Ill
bánžái	bánžat+V+IV+Actor+N+Sg+Ill
bánžái	bánžát+V+IV+Ind+Prt+Sg3
dámái	dámá+Sem/Hum+N+Sg+Ill
duššái	dušši+A+Sg+Ill
duššái	dušši+N+Sg+Ill
duššái	duššat+V+IV+Actor+N+Sg+Ill
duššái	duššái+Adv
dáisái	dáisat+V+IV+Actor+N+Sg+Ill
gunžái	gunžat+V+IV+Actor+N+Sg+Ill
lihkái	lihká+N+Sg+Ill
linjái	linjá+N+Sg+Ill
luogái	luogá+N+Sg+Ill
máizái	máizat+V+IV+Actor+N+Sg+Ill
njágái	njágá+Sem/Ani+N+Sg+Ill
njágái	njágá+Sem/Ani+N+Sg+Ill
nálsái	nálsat+V+IV+Actor+N+Sg+Ill
ságái	ságá+N+Sg+Ill
siiggái	siiggá+N+Sg+Ill
skálái	skálá+N+Sg+Ill
spánžái	spánžat+V+IV+Actor+N+Sg+Ill
villái	villat+V+IV+Actor+N+Sg+Ill
báđii	báđđit+V+TV+Ind+Prt+Sg3
máhkii	máhka+Sem/Hum+N+Sg+Ill
