lassi	1900.9167
mearkkašupmi	1887.0000
čuovvut	1883.0000
árbevirolaš	1872.0000
bealli	1867.1667
gaskka	1859.5000
báiki	1855.8333
almmuhit	1849.0000
fas	1839.0000
sáddet	1837.5000
dutkan	1826.5000
orrut	1826.0000
láhčit	1814.5000
dárbbašlaš	1812.0000
dákkár	1806.0000
resursa	1796.0000
buktit	1788.0000
konvenšuvdna	1776.0000
kap	1776.0000
árvvoštallan	1757.9167
guhte	1756.5000
láhkaásahus	1754.6667
raporta	1752.0000
searvat	1752.0000
2006	1746.0000
gal	1741.5000
golbma	1739.5000
oahpponeavvu	1736.5000
gustot	1733.5000
5	1709.0000
suorgi	1709.0000
gaskal	1697.0000
doallat	1694.0000
muitalit	1692.5000
vuoruhit	1691.8333
áigodat	1682.0000
organisašuvdna	1658.5000
ollis	1650.5000
siida	1648.0000
s	1643.0000
hukset	1631.6667
juo	1629.0000
lágidit	1628.5000
rievdadit	1628.5000
iešguđetlágan	1621.0000
doppe	1618.0000
seamma	1609.5000
meannudit	1607.5000
6	1605.0000
lassin	1604.5000
dilálašvuohta	1603.0000
artihkal	1602.0000
unnán	1596.0000
várret	1592.0000
doarjjaortnet	1591.5000
sisdoallu	1579.0000
gažaldat	1578.0000
vuohki	1557.0000
teaksta	1556.0000
boađus	1553.6667
árvalus	1552.5000
šiehtadus	1549.0000
siskkobealde	1548.0000
oahpaheaddji	1543.6833
juohkit	1543.0000
musea	1530.5000
bálvalus	1525.0000
fágalaš	1515.0000
čuovvolit	1512.1667
sátni	1511.0000
lassánit	1508.0000
sámepolitihkka	1506.5000
guohtun	1506.0833
ee	1506.0000
lađas	1505.0000
boazolohku	1501.0000
dalle	1499.0000
hálddašanguovlu	1499.0000
gáibádus	1488.0000
studeanta	1488.0000
muhtin	1486.0000
gávdnot	1474.0000
sadji	1474.0000
Romsa	1474.0000
sámediggi	1471.6667
maŋŋel	1471.0000
?	1470.0000
geatnegasvuohta	1467.0000
váldi	1463.0000
sirdit	1462.5000
doarjut	1462.5000
bargojoavku	1460.0000
fuolahit	1451.8333
olggobealde	1451.0000
duodji	1445.3333
ollislaš	1444.0000
jos	1438.5000
2010	1437.0000
vaikko	1433.0000
sámegielat	1431.0000
10	1424.0000
eanas	1418.0000
kultuvrralaš	1418.0000
čuovvovaš	1417.0000
váttis	1416.5000
čielggas	1416.5000
bures	1411.0000
2001	1410.0000
Guovdageaidnu	1409.0000
2004	1403.0000
strategiija	1401.0000
áirras	1397.0000
oaidnu	1396.0000
ovttaskas	1392.0000
2003	1388.0000
árvu	1386.5000
ohcan	1385.0000
ON	1381.0000
tabealla	1377.0000
boahtteáigi	1375.0000
oahppat	1369.9333
čearru	1368.0000
makkár	1366.5000
geavaheaddji	1356.6667
oahppoplána	1356.0000
nationála	1347.5000
earenoamáš	1342.5000
dievasčoahkkin	1342.0000
allat	1336.5000
gávdnat	1330.0000
buoridit	1329.0000
fáddá	1326.5000
sullii	1324.0000
joatkit	1323.0000
jienastuslohku	1322.0000
gollu	1318.0000
jođiheaddji	1313.2500
lunddolaš	1308.0000
nammadit	1306.5000
eanandoallu	1304.5000
ovddas	1303.0000
ohcat	1301.5000
lasihit	1292.5000
siidaoassi	1288.0000
biras	1285.0000
čuokkis	1281.0000
hálddahus	1272.0000
Kárášjohka	1267.0000
namuhit	1266.0000
čielggadit	1264.8333
submi	1263.0000
rámma	1261.5000
ovdánahttit	1251.1667
sámeláhka	1249.5000
don	1249.5000
geassemánnu	1249.0000
láhki	1241.5000
badjel	1241.0000
dihtii	1241.0000
mielas	1236.0000
galle	1234.0000
fylka	1230.0000
areála	1216.0000
duođaštit	1214.5000
váttisvuohta	1211.5000
buohkat	1205.0000
doaibmaplána	1200.0000
eallu	1199.0000
fálaldat	1198.0000
guođohit	1197.8333
ruvdno	1197.5000
a	1188.5000
diehtit	1187.3333
doarvái	1186.0000
viidáseappot	1183.0000
kulturmuitu	1183.0000
og	1182.0000
prográmma	1179.0000
vuhtii	1168.5000
oassálastit	1164.1667
váikkuhus	1161.0000
;	1158.0000
dieđáhus	1154.0000
ásaheapmi	1148.3333
omd	1147.0000
áigumuš	1145.5000
váikkuhangaskaoapmi	1140.3333
álgit	1138.0000
seammá	1134.5000
nuortalaš	1132.0000
muddu	1126.0000
čuovvoleapmi	1124.1667
unni	1122.1667
vuođđudit	1121.0000
maŋit	1115.5000
7	1112.0000
mielddisbuktit	1109.0000
Stuorradiggi	1109.0000
riekti	1108.0000
eanadoallu	1107.0000
oktiibuot	1106.0000
seammás	1092.0000
virgi	1088.0000
dárogiella	1087.0000
guoskevaš	1084.0000
proseassa	1084.0000
guhkki	1077.5000
boaris	1076.5000
erohus	1075.0000
vuordit	1070.5000
dávjá	1070.0000
doaimmahit	1060.5000
veahkki	1056.5000
jna	1055.0000
8	1053.0000
2000	1051.0000
ruhtadit	1051.0000
dáhpáhuvvat	1049.0000
ráđđi	1041.5000
oppalaš	1039.8333
vuostá	1039.3333
15	1032.0000
bearaš	1024.5000
davviriikkalaš	1024.0000
jahkásaš	1024.0000
lahttu	1024.0000
hábmet	1021.5000
maŋŋá	1021.0000
namma	1019.0000
Sámi_allaskuvla	1015.0000
joatkkaskuvla	1014.5000
čoavddus	1010.0000
guorahallat	1008.3333
ássat	998.6667
luondu	997.5000
válgabiire	997.0000
sosiála	995.0000
2002	995.0000
nanus	988.0000
čielggadeapmi	985.3333
sáhka	983.5000
čađaheapmi	983.3333
dáhttut	980.5000
stáhtalaš	978.5000
vuoruheapmi	977.8333
olis	973.0000
gulahallan	970.5000
cealkit	969.5000
politihkka	968.5000
Ruošša	967.5000
davvi	966.5000
ollašuhttit	966.0000
dađistaga	965.0000
ovdal_go	961.0000
dihto	957.6667
ávki	956.0000
gozihit	956.0000
bajit	954.0000
áidi	951.5000
dáčča	949.0000
dieđihit	944.3333
Nordlánda	944.0000
riddu	943.5000
doarjjaoažžu	943.0000
govva	942.5000
jođihit	942.4167
guovvamánnu	942.0000
registreret	937.0000
veahkehit	932.5000
kr	931.0000
30	929.0000
riikkarádji	926.5000
9	926.0000
man	926.0000
diet	926.0000
ossodat	923.0000
atnu	920.0000
váilut	919.0000
haga	918.0000
konsultašuvdna	916.0000
eret	913.0000
km	910.0000
rievdadus	909.0000
identitehta	899.0000
fállat	897.5000
bivdu	897.0000
bisuhit	891.5000
vuoigat	887.8333
earret	887.0000
plánet	886.1667
headju	880.0000
duohta	879.5000
váhnen	874.0000
dattetge	872.0000
árvalit	871.0000
loahppa	870.6667
vuosttažettiin	870.0000
ovddasteaddji	867.5000
jahkedieđáhus	863.0000
vrd.	859.0000
vuođđoskuvla	858.5000
fylkkamánni	858.0000
12	856.0000
kapihtal	856.0000
áibbas	855.0000
guolli	854.0000
juolludus	850.0000
dásseárvu	848.5000
historjá	848.0000
našuvnnalaš	847.6667
regionála	845.0000
juogadit	841.0000
nissonolmmoš	840.5000
eaktudit	840.0000
oaivil	838.0000
boazodoalli	836.0000
johtit	835.4167
“	835.0000
hálddahuslaš	835.0000
allaskuvla	835.0000
čohkket	831.7500
miessemánnu	829.0000
eanaš	829.0000
girjjálašvuohta	828.0000
doaba	826.0000
ovttasráđiid	826.0000
prinsihppa	822.0000
duogáš	821.0000
ássi	819.5000
dohkálaš	818.5000
dalle_go	816.0000
vásáhus	815.5000
vásihit	815.0000
loahpahit	813.6667
1999	813.0000
danin	813.0000
for	811.0000
kvalitehta	810.5000
dábálaččat	810.0000
juovlamánnu	810.0000
smávis	809.5000
rolla	800.5000
rehketdoallu	794.0000
geahččalit	790.4167
Áltá	789.0000
stivra	789.0000
siidu	783.0000
sámediggeválga	782.8333
searvi	782.0000
juolludeapmi	782.0000
guohtumat	781.7500
deavdit	780.5000
veahá	779.0000
perspektiiva	779.0000
sámediggeráđđi	776.0000
áigeguovdil	774.3333
ruhtadeapmi	774.0000
buvttadeapmi	773.1667
oalle	773.0000
doalahit	770.0000
čatnat	768.5000
geatnegahttit	767.5000
digitála	767.0000
11	766.0000
sivva	765.0000
I	763.6667
gieđahallat	763.0000
diehtojuohkin	762.8333
buorebut	762.5000
čielgasit	760.5000
iešguhte	760.0000
oktan	760.0000
čakča	759.1667
ná	759.0000
nappo	758.0000
dovdat	758.0000
presideanta	758.0000
mávssolaš	757.0000
giellaguovddáš	756.5000
ovttasbargošiehtadus	754.5000
guohtut	753.5833
guolástus	753.5000
čakčamánnu	753.0000
lohpi	752.6667
guvlui	752.0000
fanas	750.0000
visti	747.6667
13	747.0000
olahit	746.0000
rastá	743.0000
ráđđádallan	742.0000
gávnnahit	740.5000
davvisámegiella	739.0000
álgu	738.5000
bealde	738.0000
servodateallin	738.0000
Deatnu	736.3333
viiddidit	732.0000
i	728.6667
rámmaeaktu	728.0000
ovdánahttin	727.1667
gielalaš	727.0000
ovdánit	725.5000
konferánsa	725.0000
dáidda	721.5000
seailluhit	721.5000
álki	720.5000
gohčodit	719.0000
Njávdán	718.0000
mearra	717.6667
válga	717.6667
2011	714.0000
skábmamánnu	713.0000
milj	709.0000
njukčamánnu	707.0000
miehtá	705.0000
gáldu	703.5000
ruovttoluotta	702.0000
jeagil	702.0000
njeallje	702.0000
máilbmi	702.0000
fitnodat	702.0000
háhkat	701.0000
dálvejahki	700.5000
golggotmánnu	700.0000
nannen	698.5000
garas	695.1667
šaddu	693.5000
gokčat	693.0000
meahcci	693.0000
fápmu	693.0000
guohtuneana	690.0000
váste	688.0000
2013	688.0000
vuotna	686.0000
ala	684.0000
geahčadit	683.8333
vahkku	683.6667
lohkan	683.0000
árbevierru	682.0000
johtu	681.0000
soahpat	676.5000
ráddjet	675.0000
borgemánnu	675.0000
20	674.0000
unnitlohku	672.0000
Finnmárkoláhka	671.5000
Status	669.0000
Arkivert	669.0000
bistevaš	668.0000
jorgalit	666.5000
eallit	664.0000
gaskasaš	664.0000
ávkkástallat	664.0000
2012	664.0000
sámegiel	663.0000
