Apotekergata+N+Prop+Sem/Plc	Apotekergt	ˈɑ.po.tˌe.ker#gh
COCOM+N+Prop+Sem/Org+Sg+Acc	COCOM	tsˈo.tsom
Cubbojávri+N+Prop+Sem/Plc+Sg+Ill	Cubbojávrái	tsˈubː.po.jˌɑːβː.rɑːj
Fogstad+N+Prop+Sem/Sur+Sg+Nom	Fotstad	fˈoh#stɑd
Høybråten+N+Prop+Sem/Sur+Attr	Høybråtens	h.øy#brˌoː.tens
Inchon+N+Prop+Sem/Plc+Der/laš+A+AttrCmp+Der/girjjat+A+Pl+Nom	Inchonlašgirjjagat	ˈints.hon.lɑʃ»gˌirj.jɑ.gɑh
Ižžot+N+Prop+Sem/Plc+Ess	Iččon	ˈit.tʃon
Junná+N+Prop+Sem/Mal+Sg+Loc	Junás	jˈuː.nɑːs
Kiosa+N+Prop+Sem/Plc+Der/laš+A+Sg+Nom	Kiosalaš	khˈi.o.sˌɑ.lɑʃ
Mia+N+Prop+Sem/Fem+Pl+Acc	Miaid	mˈi.ɑjh
Mustad+N+Prop+Sem/Sur+Sg+Ill	Mustadii	mˈu#stˌɑ.dij
Nuppola+N+Prop+Sem/Sur+Sg+Com	Nuppolain	nˈup.po.lɑjn
Pälli+N+Prop+Sem/Sur+Sg+Gen	Pälli	phˈælː.liː
SÁMIacademica+N+Prop+Sem/Obj+Sg+Loc	SÁMIacademicas	sˈɑː.mi.ˌɑ.tsɑ.dˌe.mi.tsɑs
Waddisjärvi+N+Prop+Sem/Plc+Der/laš+A+Pl+Gen+PxSg1	Waddisjärvlaččaidan	βˈɑdː.tis#jˌærv.lɑt.tʃˌɑjː.tɑn
Xigaze+N+Prop+Sem/Plc+Sg+Ill	Xigazii	ksˈi.gɑː.dsij
Yme+N+Prop+Sem/Mal+Pl+Acc	Ymiid	ˈy.mijh
Yndestad+N+Prop+Sem/Sur+Sg+Ill	Yndestadii	ˈynː.te#stˌɑ.dij
by	Larm+N+Prop+Sem/Org+Sg+Ill:by:Larmii	lˈɑrm+n+prop+sem/org+sg+ilː:by:lɑr.mij
fylkesbibliotek+N+Prop+Sem/Org+Ess	fylkesbibliotekan	fˈylə.hkes.bˌib.lio.tˌe.kɑn
samtidskunst+N+Prop+Sem/Org+Sg+Acc	samtidskunsta	sˈɑm.htid.skˌunː.stɑ
Áppá+N+Prop+Sem/Mal+Sg+Com	Áppáin	ˈɑːp.pɑːjn
Ääri+N+Prop+Sem/Sur+Pl+Nom	Äärit	ˈææ.riːh
Æneas+N+Prop+Sem/Mal+Ess	Æneasin	ˈæ.ne.ˌɑ.sin
Æsop+N+Prop+Sem/Mal+Attr	Æsop	ˈæ.sop
Çanakkale+N+Prop+Sem/Plc+Der/laš+A+Sg+Acc+PxSg1	Çanakkalelažžan	sˈɑ.nɑːk.kˌɑ.le.lˌɑdː.tʃɑn
Çanakkale+N+Prop+Sem/Plc+Sg+Com	Çanakkaliin	sˈɑ.nɑːk.kˌɑ.lijn
Ízü+N+Prop+Sem/Obj+Pl+Ill	Ízüide	ˈiː.dsyj.de
Òdáđahraun+N+Prop+Sem/Plc+Sg+Gen+Allegro	Òdáđahraun	ˈo.dɑː.ðˌɑh.rɑun
Ódáðahraun+N+Prop+Sem/Plc+Sg+Gen+Allegro	Ódáðahraun	ˈuː.dɑːðɑh.rɑun
