Armstrong+N+Prop+Sem/Sur+Sg+Gen	Armstronga	ˈɑrm.stron.gɑ
samtidskunst+N+Prop+Sg+Nom	samtidskunst	sˈɑm.htid.skunsh
samtidskunst+N+Prop+Sg+Acc	samtidskunsta	sˈɑm.htid.skˌunː.stɑ
van+N+Prop+Attr	van	vˈɑn
Åbo+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Åbolašvuhtii	ˈoː#pˌo.lɑʃ»vˌuh.tij
Ædnansærvi+N+Prop+Ess	Ædnansærvin	ˈæd.nɑn.sˌærə.vin
Ædnansærvi+N+Prop+Sg+Loc	Ædnansærvvis	ˈæd.nɑn.sˌærvː.vis
Évora+N+Prop+Sg+Com	Évorain	ˈeːvo.rɑjn
Ízü+N+Prop+Pl+Nom	Ízüt	ˈiː.dsyh
Ódáðahraun+N+Prop+Sg+Nom	Ódáðahraun	ˈuː.dɑːðɑh.rɑun
Ódáðahraun+N+Prop+Sg+Com	Ódáðahraunain	ˈuː.dɑːðɑh.rɑu.nɑjn
Ódáðahraun+N+Prop+Der/laš+A+Sg+Acc	Ódáðahraunlačča	ˈuː.dɑːðɑh.rɑun.lɑt.tʃɑ
Ödeshög+N+Prop+Sem/Sur+Sg+Nom	Ödeshög	ˈø.des#høg
Øyna+N+Prop+Der/laš+A+Sg+Acc+PxDu3	Øynalaččaska	ˈøy.nɑ.lˌɑt.tʃɑs.kɑ
giežagihččetlohkái+Num+Sg+Ill	oktačuohtigiežačihččetlohkái	ˈokː.htɑ#tʃˌuoh.ti#kˌie.dʃɑ#tʃˌihː.tʃeh#lˌohː.kɑːj
giežalogátlogát+A+Ord+Der/vuohta+N+Sg+Ill	oktačuohtigiežalogátlogátvuhtii	ˈokː.htɑ#tʃˌuoh.ti#kˌie.dʃɑ#lˌo.gɑːh#lˌo.gɑːh»vˌuh.tij
giežalogigávccis+N+Coll+Ess	oktačuohtigiežalogigávccisin	ˈokː.htɑ#tʃˌuoh.ti#kˌie.dʃɑ#lˌo.gi#kˌɑːβɸ.tsi.sin
golbmaviđatlohkái+Num+Ess	oktačuohtigolmmatviđátlogin	ˈokː.htɑ#tʃˌuoh.ti#kˌolm.mɑh#vˌi.ðɑːh#lˌo.gin
guhttagávccátlohkái+Num+Ess	oktačuohtiguhttagávccátlohkin	ˈokː.htɑ#tʃˌuoh.ti#kˌuhː.tɑ#kˌɑːβɸ.tsɑːh#lˌohː.kin
guhttaovccátlogát+A+Ord+Ess	oktačuohtiguhttaovccátlogádin	ˈokː.htɑ#tʃˌuoh.ti#kˌuhː.tɑ#ˌoβɸ.tsɑːh#lˌo.gɑː.din
