Armstrong+N+Prop+Sem/Sur+Sg+Gen	Armstronga	ˈɑrm.stron.gɑ
Heaikkavahkku+N+Pl+Nom	Heaikkavahkkut	hˈeæjç.kɑ#vˌɑhː.kuh
Heaikkavahkku+N+Pl+Com+PxPl3	Heaikkavahkkuideasetguin	hˈeæjç.kɑ#vˌɑhː.kuj.dˌĕæ.set.gujn
Hosianna+Interj	Hosianna	hˈo.si.ˌɑn.nɑ
Konsešuvdnaeaktuduvvon+A+Attr	Konsešuvdnaeaktuduvvon	khˈonː.se.ʃˌuβː.tnɑ#ˌeækː.htu.dˌuv.von
Konsešuvdnaeaktuduvvon+A+Pl+Nom	Konsešuvdnaeaktuduvvon	khˈonː.se.ʃˌuβː.tnɑ#ˌeækː.htu.dˌuv.von
Konsešuvdnaeaktuduvvon+A+Sg+Nom	Konsešuvdnaeaktuduvvon	khˈonː.se.ʃˌuβː.tnɑ#ˌeækː.htu.dˌuv.von
Luciabeaivi+N+Pl+Com	Luciabeivviiguin	lˈu.tsi.ɑ#pˌejv.vij.gujn
Luciabeaivi+N+Pl+Gen+PxDu1	Luciabeivviideame	lˈu.tsi.ɑ#pˌejv.vij.dˌĕæ.me
Luciabeaivi+N+Pl+Gen+PxPl3	Luciabeivviideaset	lˈu.tsi.ɑ#pˌejv.vij.dˌĕæ.seh
Luciabeaivi+N+Pl+Loc+PxSg2	Luciabeivviinat	lˈu.tsi.ɑ#pˌejv.vij.nɑh
Luciabeaivi+N+Pl+Nom+PxDu2	Luciabeivviideatte	lˈu.tsi.ɑ#pˌejv.vij.dˌĕæt.te
Luciabeaivi+N+Sg+Com+PxSg1	Luciabeivviinan	lˈu.tsi.ɑ#pˌejv.vij.nɑn
Luciabeaivi+N+Sg+Com+PxSg2	Luciabeivviinat	lˈu.tsi.ɑ#pˌejv.vij.nɑh
Luciabeaivi+N+Sg+Com	Luciabeivviin	lˈu.tsi.ɑ#pˌejv.vijn
Luciabeaivi+N+Ess+PxDu3	Luciabeaivineaskka	lˈu.tsi.ɑ#pˌĕæjː.vi.nˌeæs.kɑ
Luciabeaivi+N+Ess+PxSg2	Luciabeaivinat	lˈu.tsi.ɑ#pˌĕæjː.vi.nɑh
Luciabeaivi+N+Sg+Nom	Luciabeaivi	lˈu.tsi.ɑ#pˌĕæjː.vi
Luciabeaivi+N+Sg+Gen+Allegro	Luciabeaivve	lˈu.tsi.ɑ#pˌĕæjv.ve
Luciabeaivi+N+Der/huhtti+V+TV+Cond+Prs+Sg1	Luciabeaivvehuhtálin	lˈu.tsi.ɑ#pˌĕæjv.ve»hˌuhː.tɑː.lin
Luciabeaivi+N+Der/huhtti+V+TV+Ind+Prs+ConNeg	Luciabeaivvihuhte	lˈu.tsi.ɑ#pˌeæjv.vi»hˌuh.te
Luciabeaivi+N+Der/Dimin+N+Sg+Nom	Luciabeaivváš	lˈu.tsi.ɑ#pˌeæjv.vɑː»ʃ
Luciabeaivi+N+Der/Dimin+N+Der/viđá+Adv	Luciabeaivvášviđá	lˈu.tsi.ɑ#pˌeæjv.vɑː»ʃ»vˌi.ðɑː
Lávrrasvahkku+N+Sg+Acc+PxDu2	Lávrrasvahkode	lˈɑːβr.rɑs#vˌɑh.ko.de
Lávrrasvahkku+N+Sg+Acc+PxSg2	Lávrrasvahkot	lˈɑːβr.rɑs#vˌɑh.koh
Lávrrasvahkku+N+Sg+Gen+PxDu2	Lávrrasvahkode	lˈɑːβr.rɑs#vˌɑh.ko.de
Lávrrasvahkku+N+Sg+Gen+PxSg2	Lávrrasvahkot	lˈɑːβr.rɑs#vˌɑh.koh
Lávrrasvahkku+N+Der/Dimin+N+Ess	Lávrrasvahkožin	lˈɑːβr.rɑs#vˌɑh.ko»dʃin
Lávrrasvahkku+N+Der/Dimin+N+Sg+Com	Lávrrasvahkožiin	lˈɑːβr.rɑs#vˌɑh.ko»dʃijn
Lávrrasvahkku+N+Der/laš+A+Ess	Lávrrasvahkolažžan	lˈɑːβr.rɑs#vˌɑh.ko»lˌɑdː.tʃɑn
Lávrrasvahkku+N+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Lávrrasvahkolašvuhtii	lˈɑːβr.rɑs#vˌɑh.ko»lɑʃ»vˌuh.tij
Lávrrasvahkku+N+Der/laš+A+Der/vuohta+N+Sg+Ill	Lávrrasvahkolašvuhtii	lˈɑːβr.rɑs#vˌɑh.ko»lɑʃ»vˌuh.tij
Lávrrasvahkku+N+Sg+Com+PxDu1	Lávrrasvahkuineame	lˈɑːβr.rɑs#vˌɑh.kuj.nˌĕæ.me
Lávrrasvahkku+N+Der/Dimin+N+Sg+Gen	Lávrrasvahkkoža	lˈɑːβr.rɑs#vˌɑhː.ko»dʃɑ
Lávrrasvahkku+N+Der/viđá+Adv	Lávrrasvahkkoviđá	lˈɑːβr.rɑs#vˌɑhː.ko»vˌi.ðɑː
Lávrrasvahkku+N+Pl+Nom	Lávrrasvahkkut	lˈɑːβr.rɑs#vˌɑhː.kuh
Lávrrasvahkku+N+Pl+Loc	Lávrrasvahkkuin	lˈɑːβr.rɑs#vˌɑhː.kujn
Lávrrasvahkku+N+Pl+Nom+PxDu1	Lávrrasvahkkuideame	lˈɑːβr.rɑs#vˌɑhː.kuj.dˌĕæ.me
Lávrrasvahkku+N+Sg+Nom	Lávrrasvahkku	lˈɑːβr.rɑs#vˌɑhː.ku
Lávrrasvahkku+N+Sg+Ill	Lávrrasvahkkui	lˈɑːβr.rɑs#vˌɑhː.kuj
Mihkalmeassu+G3+N+Sg+Ill+PxSg3	Mihkalmessosis	mˈihː.kɑːl#mˌes.so.sis
Mihkalmeassu+G3+N+Der/laš+A+Der/vuohta+N+Der/viđá+Adv	Mihkalmessolašvuohtaviđá	mˈihː.kɑːl#mˌes.so»lɑʃ»vˌuoh.tɑ»vˌi.ðɑː
Mihkalmeassu+G3+N+Sg+Ill	Mihkalmessui	mˈihː.kɑːl#mˌes.suj
Mihkalmeassu+G3+N+Ess+PxDu1	Mihkalmeassuneame	mˈihː.kɑːl#mˌeæs.su.nˌĕæ.me
Mihkalmeassu+G3+N+Pl+Ill	Mihkalmeassuide	mˈihː.kɑːl#mˌeæs.suj.de
Mihkalmeassu+G3+N+Pl+Nom	Mihkalmeassut	mˈihː.kɑːl#mˌeæs.suh
Mihkalmeassu+G3+N+Sg+Nom	Mihkalmeassu	mˈihː.kɑːl#mˌeæs.su
Mihkalmeassu+G3+N+Sg+Com+PxPl2	Mihkalmeassuineattet	mˈihː.kɑːl#mˌeæs.suj.nˌĕæt.teh
Mihkalmasbasit+N+Der/heapmi+A+Attr+Der/vuohta+N+Ess+PxDu2	Mihkalmasbasehisvuohtaneatte	mˈihː.kɑːlə.mɑs#pˌɑ.se»his»vˌuoh.tɑ.nˌĕæt.te
Mihkalmasbasit+N+Pl+Gen+PxDu3	Mihkalmasbasiideaskka	mˈihː.kɑːlə.mɑs#pˌɑ.sij.dˌeæs.kɑ
Mihkalmasbasit+N+Der/huvva+V+IV+VAbess	Mihkalmasbasihuvakeahttá	mˈihː.kɑːlə.mɑs#pˌɑ.si»hˌu.vɑ.kˌĕæhː.tɑː
Mihkalmasbasit+N+Der/Dimin+N+Pl+Nom	Mihkalmasbasážat	mˈihː.kɑːlə.mɑs#pˌɑ.sɑː»dʃɑh
Mihkalmasbasit+N+Ess	Mihkalmasbassin	mˈihː.kɑːlə.mɑs#pˌɑsː.sin
Mihkalmasbeaivi+N+Sg+Com+PxPl2	Mihkalmasbeivviineattet	mˈihː.kɑːlə.mɑs#pˌejv.vij.nˌĕæt.teh
Mihkalmasbeaivi+N+Sg+Com+PxSg2	Mihkalmasbeivviinat	mˈihː.kɑːlə.mɑs#pˌejv.vij.nɑh
Mihkalmasbeaivi+N+Der/heapmi+A+Superl+Ess	Mihkalmasbeaivveheamosin	mˈihː.kɑːlə.mɑs#pˌĕæjv.ve»hˌĕæ.mo.sin
Mihkalmasvahkku+N+Sg+Loc+PxDu2	Mihkalmasvahkusteatte	mˈihː.kɑːlə.mɑs#vˌɑhː.kus.tˌĕæt.te
Mihkalmasvahkku+N+Sg+Acc+PxDu2	Mihkalmasvahkkode	mˈihː.kɑːlə.mɑs#vˌɑhː.ko.de
Mihkalmasvahkku+N+Sg+Loc	Mihkalmasvahkkus	mˈihː.kɑːlə.mɑs#vˌɑhː.kus
Mihkalmasvahkku+N+Sg+Ill	Mihkalmasvahkkui	mˈihː.kɑːlə.mɑs#vˌɑhː.kuj
Máhtebeaivi+N+Sg+Com+PxDu2	Máhtebeivviineatte	mˈɑːh.te#pˌejv.vij.nˌĕæt.te
Máhtebeaivi+N+Sg+Com+PxPl2	Máhtebeivviineattet	mˈɑːh.te#pˌejv.vij.nˌĕæt.teh
Máhtemeasvahkku+N+Der/Dimin+N+Sg+Nom	Máhtemeasvahkoš	mˈɑːh.te#meæs#vˌɑh.ko»ʃ
Máhtemeasvahkku+N+Der/laš+A+AttrCmp+Der/pláhtat+A+Pl+Nom	Máhtemeasvahkolašpláhtagat	mˈɑːh.te#meæs#vˌɑh.ko»lɑʃ»plˌɑːh.tɑ.gɑh
Máhtemeasvahkku+N+Pl+Nom	Máhtemeasvahkkut	mˈɑːh.te#meæs#vˌɑhː.kuh
Máhtemesvahkku+N+Sg+Acc+PxSg2	Máhtemesvahkot	mˈɑːh.te#mes#vˌɑh.koh
Máhtemesvahkku+N+Der/laš+A+Sg+Nom	Máhtemesvahkolaš	mˈɑːh.te#mes#vˌɑh.ko»lɑʃ
Máhtevahkku+N+Sg+Acc+PxSg2	Máhtevahkot	mˈɑːh.te#vˌɑh.koh
Máhtevahkku+N+Pl+Acc+PxSg3	Máhtevahkkuidis	mˈɑːh.te#vˌɑhː.kuj.dis
Márggasvahkku+N+Sg+Gen+PxDu2	Márggasvahkode	mˈɑːrk.kɑs#vˌɑh.ko.de
Márggasvahkku+N+Sg+Acc+PxSg1	Márggasvahkkon	mˈɑːrk.kɑs#vˌɑhː.kon
Márggasvahkku+N+Ess+PxDu2	Márggasvahkkuneatte	mˈɑːrk.kɑs#vˌɑhː.ku.nˌĕæt.te
Márggasvahkku+N+Pl+Nom	Márggasvahkkut	mˈɑːrk.kɑs#vˌɑhː.kuh
Márjjameassu+G3+N+Sg+Ill	Márjjamessui	mˈɑːrj.jɑ#mˌes.suj
Márjjameassu+G3+N+Der/viđá+Adv	Márjjameassoviđá	mˈɑːrj.jɑ#mˌĕæs.so»vˌi.ðɑː
Márjjavahkku+N+Sg+Com+PxSg2	Márjjavahkuinat	mˈɑːrj.jɑ#vˌɑh.kuj.nɑh
Márjjámeassu+G3+N+Der/Dimin+N+Pl+Ill	Márjjámessožiidda	mˈɑːrj.jɑː#mˌes.so»dʃˌijt.tɑ
Márjjámeassu+G3+N+Der/laš+A+Comp+Sg+Ill	Márjjámessolebbui	mˈɑːrj.jɑː#mˌes.so»lˌebː.puj
Márjjámeassu+G3+N+Sg+Ill	Márjjámessui	mˈɑːrj.jɑː#mˌes.suj
Márjjávahkku+N+Sg+Acc+PxSg2	Márjjávahkot	mˈɑːrj.jɑː#vˌɑh.koh
Márjjávahkku+N+Sg+Loc	Márjjávahkus	mˈɑːrj.jɑː#vˌɑhː.kus
Norggaáittardeaddji+N+NomAg+Pl+Acc+PxPl2	Norggaáittardeddjiideattet	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.dˌĕæt.teh
Norggaáittardeaddji+N+NomAg+Pl+Com	Norggaáittardeddjiiguin	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.gujn
Norggaáittardeaddji+N+NomAg+Pl+Nom+PxDu2	Norggaáittardeddjiideatte	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.dˌĕæt.te
Norggaáittardeaddji+N+NomAg+Sg+Com+PxDu2	Norggaáittardeddjiineatte	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nˌĕæt.te
Norggaáittardeaddji+N+NomAg+Sg+Com+PxSg2	Norggaáittardeddjiinat	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nɑh
Norggaáittardeaddji+N+NomAg+Sg+Com	Norggaáittardeddjiin	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cijn
Norggaáittardeaddji+N+NomAg+Sg+Gen	Norggaáittardeaddje	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.ce
Norggaáittardeaddji+N+NomAg+Ess+PxDu2	Norggaáittardeaddjineatte	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.ci.nˌĕæt.te
Norggaáittardeaddji+N+NomAg+Sg+Loc+PxDu1	Norggaáittardeaddjisteame	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.cis.tˌĕæ.me
Norggaáittardeaddji+N+NomAg+Sg+Acc+PxSg2	Norggaáittardeaddját	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.cɑːh
Norggaáittardeaddji+N+Sg+Acc+NomAg+PxPl1	Norggaáittardeaddjámet	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.cɑː.meh
Nuvttevahkku+N+Sg+Gen+PxDu2	Nuvttevahkode	nˈuβɸ.te#vˌɑh.ko.de
Nuvttevahkku+N+Sg+Gen+PxPl2	Nuvttevahkodet	nˈuβɸ.te#vˌɑh.ko.deh
Nuvttevahkku+N+Der/Dimin+N+Sg+Nom+PxDu2	Nuvttevahkožeatte	nˈuβɸ.te#vˌɑh.ko»dʃˌĕæt.te
Nuvttevahkku+N+Der/Dimin+N+Sg+Acc	Nuvttevahkoža	nˈuβɸ.te#vˌɑh.ko»dʃɑ
Nuvttevahkku+N+Der/laš+A+Comp+Attr	Nuvttevahkolit	nˈuβɸ.te#vˌɑh.ko»lih
Nuvttevahkku+N+Der/laš+A+Der/vuohta+N+Sg+Ill	Nuvttevahkolašvuhtii	nˈuβɸ.te#vˌɑh.ko»lɑʃ»vˌuh.tij
Nuvttevahkku+N+Pl+Ill+PxSg3	Nuvttevahkuidasas	nˈuβɸ.te#vˌɑh.kuj.dˌɑ.sɑs
Nuvttevahkku+N+Pl+Nom	Nuvttevahkut	nˈuβɸ.te#vˌɑhː.kuh
Nuvttevahkku+N+Der/huhtti+V+TV+Sup	Nuvttevahkuhuhtážit	nˈuβɸ.te#vˌɑh.ku»hˌuhː.tɑː.dʃih
Nuvttevahkku+N+Sg+Nom+PxDu2	Nuvttevahkkode	nˈuβɸ.te#vˌɑhː.ko.de
Nuvttevahkku+N+Der/Dimin+N+Pl+Nom	Nuvttevahkkožat	nˈuβɸ.te#vˌɑhː.ko»dʃɑh
Nuvttevahkku+N+Der/viđá+Adv	Nuvttevahkkoviđá	nˈuβɸ.te#vˌɑhː.ko»vˌi.ðɑː
Nuvttevahkku+N+Ess	Nuvttevahkkun	nˈuβɸ.te#vˌɑhː.kun
Nuvttevahkku+N+Pl+Loc+PxPl3	Nuvttevahkkuineaset	nˈuβɸ.te#vˌɑhː.kuj.nˌĕæ.seh
Simmonvahkku+N+Sg+Gen+PxDu2	Simmonvahkode	sˈim.mon#vˌɑh.ko.de
Simmonvahkku+N+Sg+Com+PxDu2	Simmonvahkuineatte	sˈim.mon#vˌɑh.kuj.nˌĕæt.te
Simmonvahkku+N+Sg+Loc+PxSg1	Simmonvahkustan	sˈim.mon#vˌɑhː.kus.tɑn
Simmonvahkku+N+Der/huhtti+V+TV+VAbess+A+Attr	Simmonvahkuhuhtekeahtes	sˈim.mon#vˌɑh.ku»hˌuh.te.kˌĕæh.tes
Simmonvahkku+N+Sg+Nom+PxSg1	Simmonvahkkon	sˈim.mon#vˌɑhː.kon
Simmonvahkku+N+Der/viđá+Adv	Simmonvahkkoviđá	sˈim.mon#vˌɑhː.ko»vˌi.ðɑː
Simmonvahkku+N+Ess+PxDu2	Simmonvahkkuneatte	sˈim.mon#vˌɑhː.ku.nˌĕæt.te
Simmonvahkku+N+Pl+Nom	Simmonvahkkut	sˈim.mon#vˌɑhː.kuh
Simmonvahkku+N+Pl+Loc+PxDu1	Simmonvahkkuineame	sˈim.mon#vˌɑhː.kuj.nˌĕæ.me
Simmonvahkku+N+Sg+Loc+PxPl1	Simmonvahkkusteamet	sˈim.mon#vˌɑhː.kus.tˌĕæ.meh
Simmonvahkku+N+Sg+Ill	Simmonvahkkui	sˈim.mon#vˌɑhː.kuj
St.dieđáhus+N+Pl+Nom	St.dieđáhusat	st.die.ðɑː.hu.sɑh
St.dieđáhus+N+Sg+Com+PxSg3	St.dieđáhusainis	st.die.ðɑː.hu.sɑj.nis
St.dieđáhus+N+Der/Dimin+N+Pl+Nom	St.dieđáhusažat	st.die.ðɑː.hu.sɑ»dʃɑh
St.dieđáhus+N+Sg+Nom	St.dieđáhus	st.die.ðɑː.hus
St.dieđáhus+N+Sg+Ill	St.dieđáhussii	st.die.ðɑː.hus.sij
Suomaáittardeaddji+N+NomAg+Pl+Gen+PxPl3	Suomaáittardeddjiideaset	sˈuo.mɑ#ˌɑːjç.tɑr.dˌeɟː.cij.dˌĕæ.seh
Suomaáittardeaddji+N+NomAg+Sg+Com+PxDu1	Suomaáittardeddjiineame	sˈuo.mɑ#ˌɑːjç.tɑr.dˌeɟː.cij.nˌĕæ.me
Suomaáittardeaddji+N+NomAg+Sg+Com+PxPl3	Suomaáittardeddjiineaset	sˈuo.mɑ#ˌɑːjç.tɑr.dˌeɟː.cij.nˌĕæ.seh
Suomaáittardeaddji+N+NomAg+Sg+Com+PxSg3	Suomaáittardeddjiinis	sˈuo.mɑ#ˌɑːjç.tɑr.dˌeɟː.cij.nis
Suomaáittardeaddji+N+NomAg+Der/viđá+Adv	Suomaáittardeaddjeviđá	sˈuo.mɑ#ˌɑːjç.tɑr.dˌĕæɟː.ce»vˌi.ðɑː
Suomaáittardeaddji+N+NomAg+Ess+PxSg2	Suomaáittardeaddjinat	sˈuo.mɑ#ˌɑːjç.tɑr.dˌĕæɟː.ci.nɑh
Suomaáittardeaddji+N+NomAg+Sg+Loc	Suomaáittardeaddjis	sˈuo.mɑ#ˌɑːjç.tɑr.dˌĕæɟː.cis
Urbanbeaivi+N+Pl+Acc+PxPl2	Urbanbeivviideattet	ˈurə.pɑn#pˌejv.vij.dˌĕæt.teh
Urbanbeaivi+N+Pl+Acc+PxSg1	Urbanbeivviidan	ˈurə.pɑn#pˌejv.vij.dɑn
Urbanbeaivi+N+Pl+Ill	Urbanbeivviide	ˈurə.pɑn#pˌejv.vij.de
Urbanbeaivi+N+Pl+Loc+PxDu1	Urbanbeivviineame	ˈurə.pɑn#pˌejv.vij.nˌĕæ.me
Urbanbeaivi+N+Pl+Loc+PxSg1	Urbanbeivviinan	ˈurə.pɑn#pˌejv.vij.nɑn
Urbanbeaivi+N+Sg+Com+PxDu1	Urbanbeivviineame	ˈurə.pɑn#pˌejv.vij.nˌĕæ.me
Urbanbeaivi+N+Sg+Com+PxDu2	Urbanbeivviineatte	ˈurə.pɑn#pˌejv.vij.nˌĕæt.te
Urbanbeaivi+N+Sg+Com+PxSg3	Urbanbeivviinis	ˈurə.pɑn#pˌejv.vij.nis
Urbanbeaivi+N+Sg+Com	Urbanbeivviin	ˈurə.pɑn#pˌejv.vijn
Urbanbeaivi+N+Der/viđá+Adv	Urbanbeaiveviđá	ˈurə.pɑn#pˌĕæjː.ve»vˌi.ðɑː
Urbanbeaivi+N+Ess+PxSg1	Urbanbeaivinan	ˈurə.pɑn#pˌĕæjː.vi.nɑn
Urbanbeaivi+N+Sg+Nom	Urbanbeaivi	ˈurə.pɑn#pˌĕæjː.vi
Urbanbeaivi+N+Pl+Nom	Urbanbeaivvit	ˈurə.pɑn#pˌeæjv.vih
Urbanbeaivi+N+Sg+Gen+PxPl2	Urbanbeaivvádet	ˈurə.pɑn#pˌeæjv.vɑː.deh
Urbánbeaivi+N+Pl+Com+PxPl1	Urbánbeivviideametguin	ˈurə.pɑːn#pˌejv.vij.dˌĕæ.met.gujn
Urbánbeaivi+N+Pl+Com+PxSg1	Urbánbeivviidanguin	ˈurə.pɑːn#pˌejv.vij.dˌɑŋŋ.kujn
Urbánbeaivi+N+Pl+Com	Urbánbeivviiguin	ˈurə.pɑːn#pˌejv.vij.gujn
Urbánbeaivi+N+Pl+Gen+PxPl3	Urbánbeivviideaset	ˈurə.pɑːn#pˌejv.vij.dˌĕæ.seh
Urbánbeaivi+N+Pl+Nom+PxPl1	Urbánbeivviideamet	ˈurə.pɑːn#pˌejv.vij.dˌĕæ.meh
Urbánbeaivi+N+Pl+Nom+PxSg3	Urbánbeivviidis	ˈurə.pɑːn#pˌejv.vij.dis
Urbánbeaivi+N+Sg+Com+PxDu3	Urbánbeivviineaskka	ˈurə.pɑːn#pˌejv.vij.nˌeæs.kɑ
Urbánbeaivi+N+Sg+Com+PxPl2	Urbánbeivviineattet	ˈurə.pɑːn#pˌejv.vij.nˌĕæt.teh
Urbánbeaivi+N+Sg+Com+PxPl3	Urbánbeivviineaset	ˈurə.pɑːn#pˌejv.vij.nˌĕæ.seh
Urbánbeaivi+N+Sg+Com+PxSg3	Urbánbeivviinis	ˈurə.pɑːn#pˌejv.vij.nis
Urbánbeaivi+N+Der/viđá+Adv	Urbánbeaiveviđá	ˈurə.pɑːn#pˌĕæjː.ve»vˌi.ðɑː
Urbánbeaivi+N+Ess+PxDu1	Urbánbeaivineame	ˈurə.pɑːn#pˌĕæjː.vi.nˌĕæ.me
Urbánbeaivi+N+Ess+PxPl1	Urbánbeaivineamet	ˈurə.pɑːn#pˌĕæjː.vi.nˌĕæ.meh
Urbánbeaivi+N+Sg+Nom	Urbánbeaivi	ˈurə.pɑːn#pˌĕæjː.vi
Urbánbeaivi+N+Sg+Ill	Urbánbeaivái	ˈurə.pɑːn#pˌĕæjː.vɑːj
Urbánbeaivi+N+Sg+Gen+Allegro	Urbánbeaivve	ˈurə.pɑːn#pˌĕæjv.ve
Urbánbeaivi+N+Der/huhtti+V+TV+Ind+Prs+ConNeg	Urbánbeaivvihuhte	ˈurə.pɑːn#pˌeæjv.vi»hˌuh.te
Urbánbeaivi+N+Sg+Gen+PxSg2	Urbánbeaivvát	ˈurə.pɑːn#pˌeæjv.vɑːh
Vullešvahkku+N+Sg+Acc+PxDu2	Vullešvahkode	vˈul.leʃ#vˌɑh.ko.de
Vullešvahkku+N+Sg+Gen+PxDu2	Vullešvahkode	vˈul.leʃ#vˌɑh.ko.de
Vullešvahkku+N+Sg+Gen+PxSg2	Vullešvahkot	vˈul.leʃ#vˌɑh.koh
Vullešvahkku+N+Der/laš+A+Comp+Sg+Ill	Vullešvahkolabbui	vˈul.leʃ#vˌɑh.ko»lˌɑbː.puj
Vullešvahkku+N+Der/laš+A+Attr	Vullešvahkolaš	vˈul.leʃ#vˌɑh.ko»lɑʃ
Vullešvahkku+N+Der/laš+A+Attr+Der/vuohta+N+Der/viđá+Adv	Vullešvahkolašvuohtaviđá	vˈul.leʃ#vˌɑh.ko»lɑʃ»vˌuoh.tɑ»vˌi.ðɑː
Vullešvahkku+N+Der/laš+A+Der/vuohta+N+Sg+Ill	Vullešvahkolašvuhtii	vˈul.leʃ#vˌɑh.ko»lɑʃ»vˌuh.tij
Vullešvahkku+N+Pl+Com+PxSg2	Vullešvahkuidatguin	vˈul.leʃ#vˌɑh.kuj.dˌɑt.gujn
Vullešvahkku+N+Pl+Gen+PxPl2	Vullešvahkuideattet	vˈul.leʃ#vˌɑh.kuj.dˌĕæt.teh
Vullešvahkku+N+Pl+Loc+PxDu3	Vullešvahkuineaskka	vˈul.leʃ#vˌɑh.kuj.nˌeæs.kɑ
Vullešvahkku+N+Pl+Loc+PxSg1	Vullešvahkuinan	vˈul.leʃ#vˌɑh.kuj.nɑn
Vullešvahkku+N+Pl+Nom+PxDu1	Vullešvahkuideame	vˈul.leʃ#vˌɑh.kuj.dˌĕæ.me
Vullešvahkku+N+Sg+Acc+PxSg3	Vullešvahkus	vˈul.leʃ#vˌɑhː.kus
Vullešvahkku+N+Sg+Gen+PxSg3	Vullešvahkus	vˈul.leʃ#vˌɑhː.kus
Vullešvahkku+N+Sg+Loc	Vullešvahkus	vˈul.leʃ#vˌɑhː.kus
Vullešvahkku+N+Sg+Loc+PxDu2	Vullešvahkusteatte	vˈul.leʃ#vˌɑhː.kus.tˌĕæt.te
Vullešvahkku+N+Sg+Nom+PxSg2	Vullešvahkkot	vˈul.leʃ#vˌɑhː.koh
Vullešvahkku+N+Der/huhtti+V+TV+Ind+Prs+Pl3	Vullešvahkkohuhttet	vˈul.leʃ#vˌɑhː.ko»hˌuhː.teh
Vullešvahkku+N+Der/huvva+V+IV+VAbess+A+Attr	Vullešvahkkohuvakeahtes	vˈul.leʃ#vˌɑhː.ko»hˌu.vɑ.kˌĕæh.tes
Vullešvahkku+N+Der/laš+A+AttrCmp+Der/hájat+A+Der/vuohta+N+Sg+Loc+PxSg3	Vullešvahkkolašhájatvuođastis	vˈul.leʃ#vˌɑhː.ko»lɑʃ»hˌɑː.jɑh»vˌuo.ðɑs.tis
Vullešvahkku+N+Der/viđá+Adv	Vullešvahkkoviđá	vˈul.leʃ#vˌɑhː.ko»vˌi.ðɑː
Vullešvahkku+N+Ess+PxDu3	Vullešvahkkuneaskka	vˈul.leʃ#vˌɑhː.ku.nˌeæs.kɑ
Vullešvahkku+N+Ess+PxPl2	Vullešvahkkuneattet	vˈul.leʃ#vˌɑhː.ku.nˌĕæt.teh
Vullešvahkku+N+Ess+PxSg2	Vullešvahkkunat	vˈul.leʃ#vˌɑhː.ku.nɑh
Vullešvahkku+N+Ess	Vullešvahkkun	vˈul.leʃ#vˌɑhː.kun
Vullešvahkku+N+Pl+Nom	Vullešvahkkut	vˈul.leʃ#vˌɑhː.kuh
Vullešvahkku+N+Pl+Nom+PxPl2	Vullešvahkkuideattet	vˈul.leʃ#vˌɑhː.kuj.dˌĕæt.teh
Vullešvahkku+N+Pl+Nom+PxSg2	Vullešvahkkuidat	vˈul.leʃ#vˌɑhː.kuj.dɑh
Vullešvahkku+N+Sg+Com+PxPl1	Vullešvahkkuineamet	vˈul.leʃ#vˌɑhː.kuj.nˌĕæ.meh
Vullešvahkku+N+Sg+Ill	Vullešvahkkui	vˈul.leʃ#vˌɑhː.kuj
akšuvdna+N+Sg+Nom+PxDu3	akšuvdnaska	ˈɑkː.ʃuv.tnˌɑsː.kɑ
akšuvdna+N+Sg+Nom+PxPl3	akšuvdnaset	ˈɑkː.ʃuv.tnˌɑ.seh
akšuvdna+N+Sg+Nom+PxSg3	akšuvdnas	ˈɑkː.ʃuv.tnɑs
akšuvdna+N+Sg+Nom	akšuvdna	ˈɑkː.ʃuv.tnɑ
akšuvdna+N+Ess+PxDu1	akšuvdnaneame	ˈɑkː.ʃuv.tnˌɑ.nĕæ.me
akšuvdna+N+Ess+PxPl3	akšuvdnaneaset	ˈɑkː.ʃuv.tnˌɑ.nĕæ.seh
akšuvdna+N+Ess+PxSg1	akšuvdnanan	ˈɑkː.ʃuv.tnˌɑ.nɑn
akšuvdna+N+Sg+Acc+PxDu1	akšuvdname	ˈɑkː.ʃuv.tnˌɑ.me
akšuvdna+N+Sg+Acc+PxPl1	akšuvdnamet	ˈɑkː.ʃuv.tnˌɑ.meh
akšuvdna+N+Sg+Gen+PxDu1	akšuvdname	ˈɑkː.ʃuv.tnˌɑ.me
akšuvdna+N+Sg+Ill+PxPl2	akšuvdnaseattet	ˈɑkː.ʃuv.tnˌɑ.sĕæt.teh
akšuvdna+N+Sg+Nom+PxSg2	akšuvdnat	ˈɑkː.ʃuv.tnɑh
akšuvdna+N+Sg+Ill	akšuvdnii	ˈɑkː.ʃuv.tnij
