Cimislia+N+Prop+Der/laš+A+Pl+Gen+PxSg1	Cimislialaččaidan	sˈiː.mis.lˌi.ɑ>.lɑč.čɑj.dɑn
Circa+N+Prop+Der/laš+A+Sg+Acc+PxDu2	Circalaččade	sˈirː.kɑː>.lɑč.čɑ.de
Ciudad+N+Prop+Sg+Nom	Ciudad	sˈiː.u.dɑd>
Ciudad+N+Prop+Sg+Ill	Ciudadii	sˈiː.u.dɑ.d>ij
Clydefjorden+N+Prop+Sg+Acc	Clydefjordena	klˈyː.de#fjˌuː.re.n>ɑ
Como+N+Prop+Der/laš+A+Pl+Gen+PxDu3	Comolaččaideaskka	khˈuː.mo>.lɑč.čɑj.deɑs.kɑ
Concordia+N+Prop+Der/laš+A+Sg+Ill	Concordialažžii	khˈoŋː.kor.dˌi.ɑ>.lɑž.žij
Cremona+N+Prop+Der/laš+A+AttrCmp+Der/sánat+A+Pl+Loc	Cremonalašsánagiin	krˈeː.mo.nɑ>.lɑʃ»sˌá.nɑ.gijn
Crossland+N+Prop+Sem/Sur+Sg+Com	Crosslandain	krˈosː#lɑn.n>ɑjn
Cumbria+N+Prop+Sg+Loc	Cumbrias	khˈumb.ri.ɑ>s
Cæcilius+N+Prop+Sem/Sur+Sg+Nom	Cæcilius	sˈæː.si.lˌi.us>
Cæcilius+N+Prop+Sem/Sur+Sg+Ill	Cæciliusii	sˈæː.si.lˌi.u.s>ij
Cæsarea+N+Prop+Sg+Acc	Cæsarea	sˈæː.sɑ.reɑ>
Cîmpina+N+Prop+Sg+Com	Cîmpinain	khˈîmː.pi.nɑ>in
Cølius+N+Prop+Sem/Sur+Ess	Cøliusan	sˈøː.li.u.s>ɑn
Cølius+N+Prop+Sem/Sur+Pl+Acc	Cøliusaid	sˈøː.li.u.s>ɑjh
Dakia+N+Prop+Sg+Gen	Dakia	dˈɑː.çi.ɑ>
Damsgaard+N+Prop+Sem/Sur+Ess	Damsgaardan	dˈɑms#goːr.d>ɑn
Danida+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Danidaš	dˈɑː.ni.dɑ>ʃ
