akšuvdnabeaivi+N+Der/laš+A+Comp+Attr	ákšunbeaivválet	ˈákː.ʃun#bˌeɑiv.vá»let>
akšuvdnabeaivi+N+Der/laš+A+Comp+Sg+Nom	ákšunbeaivválet	ˈákː.ʃun#bˌeɑiv.vá»let>
akšuvdnabeaivi+N+Der/laš+A+Comp+Attr	ákšunbeaivválit	ˈákː.ʃun#bˌeɑiv.vá»lit>
akšuvdnabeaivi+N+Der/laš+A+Comp+Sg+Nom	ákšunbeaivválit	ˈákː.ʃun#bˌeɑiv.vá»lit>
akšuvdnabeaivi+N+Der/laš+A+Ess	ákšunbeaivválažžan	ˈákː.ʃun#bˌeɑiv.vá»lˌɑž.žɑ>n
akšuvdnabeaivi+N+Der/laš+A+Superl+Attr	ákšunbeaivváleamos	ˈákː.ʃun#bˌeɑiv.vá»lˌeɑ.mos>
akšuvdnabeaivi+N+Der/laš+A+Superl+Sg+Acc	ákšunbeaivválepmosa	ˈákː.ʃun#bˌeɑiv.vá»lˌep.mo.s>ɑ
akšuvdnabeaivi+N+Der/laš+A+Superl+Sg+Loc	ákšunbeaivválepmosis	ˈákː.ʃun#bˌeɑiv.vá»lˌep.mo.s>is
akšuvdnabeaivi+N+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	ákšunbeaivválašvuhtii	ˈákː.ʃun#bˌeɑiv.vá»lɑʃ>»vˌu.tij
akšuvdnabeaivi+N+Der/laš+A+Attr+Der/vuohta+N+Ess+PxSg3	ákšunbeaivválašvuohtanis	ˈákː.ʃun#bˌeɑiv.vá»lɑʃ>»vˌuo.tɑ.nis
akšuvdnabeaivi+N+Der/laš+A+AttrCmp+Der/ivnnat+A+Attr	ákšunbeaivválašivnnat	ˈákː.ʃun#bˌeɑiv.vá»lɑʃ>»ˌivn.nɑt
akšuvdnabeaivi+N+Der/laš+A+Sg+Nom	ákšunbeaivválaš	ˈákː.ʃun#bˌeɑiv.vá»lɑʃ>
akšuvdnabeaivi+N+Der/laš+A+Der/vuohta+N+Sg+Ill	ákšunbeaivválašvuhtii	ˈákː.ʃun#bˌeɑiv.vá»lɑʃ»vˌu.ti>i
akšuvdnabeaivi+N+Der/laš+A+Der/vuohta+N+Pl+Nom+PxPl1	ákšunbeaivválašvuođaideamet	ˈákː.ʃun#bˌeɑiv.vá»lɑʃ»vˌuo.ðɑ>i.dĕɑ.met
akšuvdnabeaivi+N+Der/laš+A+Der/vuohta+N+Sg+Com+PxSg3	ákšunbeaivválašvuođainis	ˈákː.ʃun#bˌeɑiv.vá»lɑʃ»vˌuo.ðɑ>i.nis
bakteriija+N+Ess+PxDu3	bakteriijaneaskka	bˈɑkː.hte.rˌiː.jɑ>.neɑs.kɑ
bakteriija+N+Pl+Nom+PxDu3	bakteriijaideaskka	bˈɑkː.hte.rˌiː.jɑ>i.deɑs.kɑ
bakteriija+N+Pl+Nom	bakteriijat	bˈɑkː.hte.rˌiː.jɑ>t
bakteriija+N+Sg+Ill+PxDu2	bakteriijaseatte	bˈɑkː.hte.rˌiː.jɑ>.sĕɑt.te
bakteriija+N+Sg+Ill+PxPl2	bakteriijaseattet	bˈɑkː.hte.rˌiː.jɑ>.sĕɑt.tet
bakteriija+N+Sg+Ill+PxPl3	bakteriijaseaset	bˈɑkː.hte.rˌiː.jɑ>.sĕɑ.set
bakteriija+N+Sg+Loc	bakteriijas	bˈɑkː.hte.rˌiː.jɑ>s
bakteriija+N+Sg+Loc+PxSg3	bakteriijastis	bˈɑkː.hte.rˌiː.jɑ>stis
bakteriija+N+Der/heapmi+A+Attr+Der/vuohta+N+Ess+PxDu3	bakteriijahisvuohtaneaskka	bˈɑkː.hte.rˌiː.jɑ»his>»vˌuo.tɑ.nˌeɑs.kɑ
bakteriija+N+Der/huhtti+V+TV+VAbess	bakteriijahuhtekeahttájin	bˈɑkː.hte.rˌiː.jɑ»hˌu.te>.keɑt.tá.jin
bakteriija+N+Der/huhtti+V+TV+VGen	bakteriijahuhti	bˈɑkː.hte.rˌiː.jɑ»hˌu.ti>
bakteriija+N+Der/huvva+V+IV+VAbess	bakteriijahuvakeahttájin	bˈɑkː.hte.rˌiː.jɑ»hˌu.vɑ>.keɑt.tá.jin
bakteriija+N+Der/huvva+V+IV+VGen	bakteriijahuva	bˈɑkː.hte.rˌiː.jɑ»hˌu.vɑ>
bakteriija+N+Der/huvva+V+IV+Der/NomAct+N+Ess	bakteriijahuvvamin	bˈɑkː.hte.rˌiː.jɑ»hˌuv.vɑ>»min
bakteriija+N+Der/huvva+V+IV+Ind+Prs+Sg3	bakteriijahuvvá	bˈɑkː.hte.rˌiː.jɑ»hˌuvː.vá>
bakteriija+N+Der/laš+A+Der/vuohta+N+Sg+Ill	bakteriijalašvuhtii	bˈɑkː.hte.rˌiː.jɑ»lɑʃ»vˌu.ti>i
bakteriija+N+Sg+Ill	bakteriijii	bˈɑkː.hte.rˌiː.ji>i
bakteriologa+N+Pl+Nom	bakteriologat	bˈɑkː.hte.rˌio.lo.gɑ>t
bakteriologa+N+Sg+Com+PxPl2	bakteriologaineattet	bˈɑkː.hte.rˌio.lo.gɑ>i.nĕɑt.tet
bakteriologa+N+Der/Dimin+N+Der/viđá+Adv	bakteriologašviđá	bˈɑkː.hte.rˌio.lo.gɑ»ʃ»vˌi.ðá
bakteriologa+N+Der/laš+A+Comp+Attr	bakteriologalit	bˈɑkː.hte.rˌio.lo.gɑ»lit>
bakteriologa+N+Der/laš+A+Comp+Sg+Com	bakteriologalaččabuin	bˈɑkː.hte.rˌio.lo.gɑ»lˌɑč.čɑ>.bujn
bakteriologa+N+Der/viđá+Adv	bakteriologaviđá	bˈɑkː.hte.rˌio.lo.gɑ»vˌi.ðá
bakteriologa+N+Sg+Ill	bakteriologii	bˈɑkː.hte.rˌio.lo.ji>i
bakteriologiija+N+Sg+Com+PxSg1	bakteriologiijainan	bˈɑkː.hte.rˌio.lo.jˌiː.jɑ>i.nɑn
bakteriologiija+N+Der/huhtti+V+TV+Ind+Prt+Du3	bakteriologiijahuhtiiga	bˈɑkː.hte.rˌio.lo.jˌiː.jɑ»hˌu.ti>i.gɑ
bakteriologiija+N+Der/huvva+V+IV+Imprt+ConNeg	bakteriologiijahuva	bˈɑkː.hte.rˌio.lo.jˌiː.jɑ»hˌu.vɑ>
bakteriologiija+N+Sg+Ill	bakteriologiijii	bˈɑkː.hte.rˌio.lo.jˌiː.ji>i
barbariija+N+Ess+PxPl1	barbariijaneamet	bˈɑrː.bɑː.rˌiː.jɑ>.nĕɑ.met
barbariija+N+Pl+Nom	barbariijat	bˈɑrː.bɑː.rˌiː.jɑ>t
barbariija+N+Sg+Acc+PxDu2	barbariijade	bˈɑrː.bɑː.rˌiː.jɑ>.de
barbariija+N+Sg+Acc+PxSg2	barbariijat	bˈɑrː.bɑː.rˌiː.jɑ>t
barbariija+N+Sg+Acc+PxSg3	barbariijas	bˈɑrː.bɑː.rˌiː.jɑ>s
barbariija+N+Sg+Ill	barbariijai	bˈɑrː.bɑː.rˌiː.jɑ>i
barbariija+N+Sg+Ill+PxDu3	barbariijaseaskka	bˈɑrː.bɑː.rˌiː.jɑ>.seɑs.kɑ
barbariija+N+Sg+Ill+PxSg1	barbariijasan	bˈɑrː.bɑː.rˌiː.jɑ>.sɑn
barbariija+N+Der/Dimin+N+Sg+Loc+PxDu2	barbariijažisttáde	bˈɑrː.bɑː.rˌiː.jɑ»žˌis.tá>.de
barbariija+N+Der/Dimin+N+Sg+Loc+PxPl2	barbariijažisttádet	bˈɑrː.bɑː.rˌiː.jɑ»žˌis.tá>.det
barbariija+N+Der/huvva+V+IV+VAbess	barbariijahuvahaga	bˈɑrː.bɑː.rˌiː.jɑ»hˌu.vɑ>.hɑ.gɑ
barbariija+N+Sg+Ill	barbariijii	bˈɑrː.bɑː.rˌiː.ji>i
baromehter+N+Pl+Nom	baromehterat	bˈɑː.ro.mˌe.te.r>ɑt
baromehter+N+Sg+Nom+PxSg1	baromehteran	bˈɑː.ro.mˌe.te.r>ɑn
baromehter+N+Der/viđá+Adv	baromehterviđá	bˈɑː.ro.mˌe.ter»vˌi.ðá
baromettar+N+Ess	baromettarin	bˈɑː.ro.mˌet.tɑ.r>in
baromettar+N+Sg+Nom+PxPl3	baromettareaset	bˈɑː.ro.mˌet.tɑ.r>ĕɑ.set
baromettar+N+Pl+Loc+PxDu3	baromettariinniska	bˈɑː.ro.mˌet.tɑ.r>ijn.nis.kɑ
baromettar+N+Der/heapmi+A+Pl+Ill	baromettarhemiide	bˈɑː.ro.mˌet.tɑr»hˌe.mi>i.de
baromettar+N+Der/laš+A+Ess	baromettarlažžan	bˈɑː.ro.mˌet.tɑr»lˌɑž.žɑn
baroniija+N+Sg+Com+PxDu3	baroniijaineaskka	bˈɑː.ro.nˌiː.jɑ>i.neɑs.kɑ
baroniija+N+Sg+Ill	baroniijii	bˈɑː.ro.nˌiː.ji>i
baráhkka+N+Pl+Com	baráhkaiguin	bˈɑː.rá.kɑ>i.gujn
baráhkka+N+Pl+Nom	baráhkat	bˈɑː.rá.kɑ>t
baráhkka+N+Sg+Com+PxDu2	baráhkaineatte	bˈɑː.rá.kɑ>i.nĕɑt.te
baráhkka+N+Sg+Com	baráhkain	bˈɑː.rá.kɑ>in
baráhkka+N+Sg+Loc	baráhkas	bˈɑː.rá.kɑ>s
baráhkka+N+Der/heapmi+A+Comp+Sg+Nom	baráhkahat	bˈɑː.rá.kɑ»hɑt>
baráhkka+N+Der/heapmi+A+Pl+Com	baráhkahemiiguin	bˈɑː.rá.kɑ»hˌe.mi>i.gujn
baráhkka+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	baráhkahisvuhtii	bˈɑː.rá.kɑ»his>»vˌu.tij
baráhkka+N+Der/huhtti+V+TV+Ger	baráhkahuhtediin	bˈɑː.rá.kɑ»hˌu.te>.dijn
baráhkka+N+Der/laš+A+AttrCmp+Der/dávttat+A+Ess	baráhkalašdávttagin	bˈɑː.rá.kɑ»lɑʃ>»dˌávt.tɑ.gin
baráhkka+N+Ess+PxSg1	baráhkkanan	bˈɑː.rák.kɑ>.nɑn
baráhkka+N+Ess+PxSg2	baráhkkanat	bˈɑː.rák.kɑ>.nɑt
baráhkka+N+Der/viđá+Adv	baráhkkaviđá	bˈɑː.rák.kɑ»vˌi.ðá
baráhkka+N+Sg+Ill	baráhkkii	bˈɑː.rák.çi>i
batiija+N+Ess+PxPl1	batiijaneamet	bˈɑː.tiː.jɑ>.nĕɑ.met
batiija+N+Ess+PxSg3	batiijanis	bˈɑː.tiː.jɑ>.nis
batiija+N+Ess	batiijan	bˈɑː.tiː.jɑ>n
batiija+N+Pl+Com	batiijaiguin	bˈɑː.tiː.jɑ>i.gujn
batiija+N+Sg+Nom+PxDu1	batiijame	bˈɑː.tiː.jɑ>.me
batiija+N+Sg+Nom+PxSg3	batiijas	bˈɑː.tiː.jɑ>s
batiija+N+Sg+Ill+PxPl2	batiijaseattet	bˈɑː.tiː.jɑ>.sĕɑt.tet
batiija+N+Der/viđá+Adv	batiijaviđá	bˈɑː.tiː.jɑ>»vˌi.ðá
batiija+N+Der/Dimin+N+Sg+Nom	batiijaš	bˈɑː.tiː.jɑ»ʃ
batiija+N+Der/Dimin+N+Der/viđá+Adv	batiijašviđá	bˈɑː.tiː.jɑ»ʃ»vˌi.ðá
batiija+N+Der/Dimin+N+Ess	batiijažin	bˈɑː.tiː.jɑ»žin
batiija+N+Der/Dimin+N+Pl+Nom	batiijažat	bˈɑː.tiː.jɑ»žɑt
batiija+N+Der/heapmi+A+Comp+Attr	batiijahut	bˈɑː.tiː.jɑ»hut>
batiija+N+Der/heapmi+A+Superl+Ess	batiijaheamosin	bˈɑː.tiː.jɑ»hˌeɑ.mo.s>in
batiija+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	batiijahisvuhtii	bˈɑː.tiː.jɑ»his>»vˌu.tij
batiija+N+Der/huhtti+V+TV+Ind+Prs+ConNeg	batiijahuhte	bˈɑː.tiː.jɑ»hˌu.te>
batiija+N+Der/huhtti+V+TV+Imprt+Pl2	batiijahuhttet	bˈɑː.tiː.jɑ»hˌut.te>t
batiija+N+Sg+Ill	batiijii	bˈɑː.tiː.ji>i
batteriija+N+Ess+PxPl2	batteriijaneattet	bˈɑt.te.rˌiː.jɑ>.nĕɑt.tet
batteriija+N+Ess+PxPl3	batteriijaneaset	bˈɑt.te.rˌiː.jɑ>.nĕɑ.set
batteriija+N+Pl+Com	batteriijaiguin	bˈɑt.te.rˌiː.jɑ>i.gujn
batteriija+N+Pl+Loc+PxPl1	batteriijaineamet	bˈɑt.te.rˌiː.jɑ>i.nĕɑ.met
batteriija+N+Pl+Nom	batteriijat	bˈɑt.te.rˌiː.jɑ>t
batteriija+N+Sg+Gen+PxSg1	batteriijan	bˈɑt.te.rˌiː.jɑ>n
batteriija+N+Sg+Com+PxPl1	batteriijaineamet	bˈɑt.te.rˌiː.jɑ>i.nĕɑ.met
batteriija+N+Der/Dimin+N+Der/viđá+Adv	batteriijašviđá	bˈɑt.te.rˌiː.jɑ»ʃ»vˌi.ðá
batteriija+N+Der/huhtti+V+TV+Pot+Prs+ConNeg	batteriijahuhteš	bˈɑt.te.rˌiː.jɑ»hˌu.te>ʃ
batteriija+N+Der/huhtti+V+TV+Ind+Prs+Sg3	batteriijahuhttá	bˈɑt.te.rˌiː.jɑ»hˌut.tá>
batteriija+N+Der/huhtti+V+TV+Ind+Prs+Sg1	batteriijahuhtán	bˈɑt.te.rˌiː.jɑ»hˌu.tá>n
batteriija+N+Der/huvva+V+IV+Imprt+Sg2	batteriijahuva	bˈɑt.te.rˌiː.jɑ»hˌu.vɑ>
batteriija+N+Der/huvva+V+IV+Pot+Prs+Sg2	batteriijahuvažat	bˈɑt.te.rˌiː.jɑ»hˌu.vɑ>.žɑt
batteriija+N+Der/huvva+V+IV+VGen	batteriijahuva	bˈɑt.te.rˌiː.jɑ»hˌu.vɑ>
batteriija+N+Sg+Ill	batteriijii	bˈɑt.te.rˌiː.ji>i
bearašterapiija+N+Ess+PxPl2	bearašterapiijaneattet	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>.nĕɑt.tet
bearašterapiija+N+Ess+PxPl3	bearašterapiijaneaset	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>.nĕɑ.set
bearašterapiija+N+Pl+Acc+PxDu3	bearašterapiijaideaskka	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>i.deɑs.kɑ
bearašterapiija+N+Pl+Acc+PxSg2	bearašterapiijaidat	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>i.dɑt
bearašterapiija+N+Pl+Com	bearašterapiijaiguin	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>i.gujn
bearašterapiija+N+Pl+Gen+PxDu3	bearašterapiijaideaskka	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>i.deɑs.kɑ
bearašterapiija+N+Pl+Nom+PxPl2	bearašterapiijaideattet	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>i.dĕɑt.tet
bearašterapiija+N+Pl+Nom	bearašterapiijat	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>t
bearašterapiija+N+Sg+Gen+PxDu1	bearašterapiijame	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>.me
bearašterapiija+N+Sg+Gen+PxDu3	bearašterapiijaska	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>skɑ
bearašterapiija+N+Sg+Gen+PxSg2	bearašterapiijat	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>t
bearašterapiija+N+Sg+Nom+PxPl3	bearašterapiijaset	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>.set
bearašterapiija+N+Sg+Com+PxDu1	bearašterapiijaineame	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>i.nĕɑ.me
bearašterapiija+N+Sg+Com+PxPl3	bearašterapiijaineaset	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>i.nĕɑ.set
bearašterapiija+N+Sg+Ill	bearašterapiijai	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>i
bearašterapiija+N+Der/viđá+Adv	bearašterapiijaviđá	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ>»vˌi.ðá
bearašterapiija+N+Der/Dimin+N+Sg+Nom	bearašterapiijaš	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»ʃ
bearašterapiija+N+Der/Dimin+N+Der/viđá+Adv	bearašterapiijašviđá	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»ʃ»vˌi.ðá
bearašterapiija+N+Der/Dimin+N+Der/Dimin+N+Sg+Gen+PxSg1	bearašterapiijažažžan	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»žˌɑž.žɑ>n
bearašterapiija+N+Der/heapmi+A+Superl+Sg+Nom	bearašterapiijahamos	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌɑ.mos>
bearašterapiija+N+Der/heapmi+A+Attr	bearašterapiijahis	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»his>
bearašterapiija+N+Der/huhtti+V+TV+VAbess	bearašterapiijahuhtihaga	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌu.ti>.hɑ.gɑ
bearašterapiija+N+Der/huhtti+V+TV+Der/PassS+V+IV+Der/NomAct+N+Ess	bearašterapiijahuhttomin	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌut.to>»min
bearašterapiija+N+Der/huhtti+V+TV+Imprt+Pl1	bearašterapiijahuhttut	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌut.tu>t
bearašterapiija+N+Der/huhtti+V+TV+Cond+Prs+Sg3	bearašterapiijahuhtálii	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌu.tá>.lij
bearašterapiija+N+Der/huhtti+V+TV+Sup	bearašterapiijahuhtážit	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌu.tá>.žit
bearašterapiija+N+Der/huvva+V+IV+Cond+Prs+Pl1	bearašterapiijahuvašeimmet	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌu.vɑ>.ʃejm.met
bearašterapiija+N+Der/huvva+V+IV+Cond+Prs+Pl3	bearašterapiijahuvaše	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌu.vɑ>.ʃe
bearašterapiija+N+Der/huvva+V+IV+Imprt+Sg2	bearašterapiijahuva	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌu.vɑ>
bearašterapiija+N+Der/huvva+V+IV+VAbess	bearašterapiijahuvahaga	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌu.vɑ>.hɑ.gɑ
bearašterapiija+N+Der/huvva+V+IV+VGen	bearašterapiijahuva	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌu.vɑ>
bearašterapiija+N+Der/huvva+V+IV+Imprt+Pl2	bearašterapiijahuvvit	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌuv.vi>t
bearašterapiija+N+Der/huvva+V+IV+Ind+Prs+Sg3	bearašterapiijahuvvá	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»hˌuvː.vá>
bearašterapiija+N+Der/laš+A+Comp+Attr	bearašterapiijalet	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»let>
bearašterapiija+N+Der/laš+A+Sg+Loc	bearašterapiijalaččas	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»lˌɑč.čɑ>s
bearašterapiija+N+Der/laš+A+AttrCmp+Der/kultuvrrat+A+Sg+Com	bearašterapiijalaškultuvrragiin	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»lɑʃ>»kˌul.tuvr.rˌɑ.gijn
bearašterapiija+N+Der/laš+A+Der/vuohta+N+Sg+Ill	bearašterapiijalašvuhtii	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.jɑ»lɑʃ»vˌu.ti>i
bearašterapiija+N+Sg+Ill	bearašterapiijii	bˈeɑ.rɑʃ#thˌeː.rɑ.pˌiː.ji>i
bearaštragediija+N+Ess+PxDu3	bearaštragediijaneaskka	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>.neɑs.kɑ
bearaštragediija+N+Ess+PxPl2	bearaštragediijaneattet	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>.nĕɑt.tet
bearaštragediija+N+Ess+PxPl3	bearaštragediijaneaset	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>.nĕɑ.set
bearaštragediija+N+Ess+PxSg3	bearaštragediijanis	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>.nis
bearaštragediija+N+Pl+Nom	bearaštragediijat	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>t
bearaštragediija+N+Sg+Gen+PxSg2	bearaštragediijat	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>t
bearaštragediija+N+Sg+Com+PxDu1	bearaštragediijaineame	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>i.nĕɑ.me
bearaštragediija+N+Sg+Ill	bearaštragediijai	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>i
bearaštragediija+N+Sg+Ill+PxDu1	bearaštragediijaseame	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>.sĕɑ.me
bearaštragediija+N+Sg+Loc	bearaštragediijas	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>s
bearaštragediija+N+Sg+Loc+PxDu3	bearaštragediijasteaskka	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>steɑs.kɑ
bearaštragediija+N+Sg+Loc+PxPl1	bearaštragediijasteamet	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>stĕɑ.met
bearaštragediija+N+Der/viđá+Adv	bearaštragediijaviđá	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ>»vˌi.ðá
bearaštragediija+N+Der/Dimin+N+Sg+Nom	bearaštragediijaš	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»ʃ
bearaštragediija+N+Der/Dimin+N+Der/viđá+Adv	bearaštragediijašviđá	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»ʃ»vˌi.ðá
bearaštragediija+N+Der/Dimin+N+Ess	bearaštragediijažin	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»žin
bearaštragediija+N+Der/heapmi+A+Superl+Pl+Loc	bearaštragediijahamosiin	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌɑ.mo.s>ijn
bearaštragediija+N+Der/heapmi+A+Superl+Attr	bearaštragediijaheamos	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌeɑ.mos>
bearaštragediija+N+Der/heapmi+A+Superl+Pl+Gen	bearaštragediijahepmosiid	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌep.mo.s>ijh
bearaštragediija+N+Der/heapmi+A+Pl+Loc	bearaštragediijahemiin	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌe.mi>in
bearaštragediija+N+Der/heapmi+A+Attr	bearaštragediijahis	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»his>
bearaštragediija+N+Der/huhtti+V+TV+Ind+Prt+Du2	bearaštragediijahuhtiide	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌu.ti>i.de
bearaštragediija+N+Der/huvva+V+IV+Ger+PxDu2	bearaštragediijahuvadettiineatte	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>.det.tij.nĕɑt.te
bearaštragediija+N+Der/huvva+V+IV+VAbess+A+Attr	bearaštragediijahuvakeahtes	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌu.vɑ>.kĕɑ.tes
bearaštragediija+N+Der/huvva+V+IV+Imprt+Pl2	bearaštragediijahuvvet	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌuv.ve>t
bearaštragediija+N+Der/huvva+V+IV+Imprt+Pl2	bearaštragediijahuvvit	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»hˌuv.vi>t
bearaštragediija+N+Der/laš+A+Comp+Ess	bearaštragediijaleabbon	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lˌeɑb.bo>n
bearaštragediija+N+Der/laš+A+Comp+Sg+Ill	bearaštragediijalebbui	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lˌeb.bu>i
bearaštragediija+N+Der/laš+A+Comp+Sg+Nom	bearaštragediijalit	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lit>
bearaštragediija+N+Der/laš+A+Superl+Ess	bearaštragediijalamosin	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lˌɑ.mo.s>in
bearaštragediija+N+Der/laš+A+Comp+Pl+Com	bearaštragediijalaččabuiguin	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lˌɑč.čɑ>.buj.gujn
bearaštragediija+N+Der/laš+A+Comp+Sg+Loc	bearaštragediijalaččabus	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lˌɑč.čɑ>.bus
bearaštragediija+N+Der/laš+A+Attr	bearaštragediijalaš	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lɑʃ>
bearaštragediija+N+Der/laš+A+AttrCmp+Der/kultuvrrat+A+Der/vuohta+N+Sg+Ill	bearaštragediijalaškultuvrratvuhtii	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lɑʃ>»kˌul.tuvr.rɑt»vˌu.tij
bearaštragediija+N+Der/laš+A+Der/vuohta+N+Sg+Gen+PxSg2	bearaštragediijalašvuođat	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.jɑ»lɑʃ»vˌuo.ðɑ>t
bearaštragediija+N+Sg+Ill	bearaštragediijii	bˈeɑ.rɑʃ#trˌɑː.ge.dˌiː.ji>i
bibliografiija+N+Pl+Nom	bibliografiijat	bˈib.lio.grˌɑ.fiː.jɑ>t
bibliografiija+N+Sg+Gen+PxPl2	bibliografiijadet	bˈib.lio.grˌɑ.fiː.jɑ>.det
bibliografiija+N+Sg+Gen	bibliografiija	bˈib.lio.grˌɑ.fiː.jɑ>
bibliografiija+N+Sg+Ill+PxPl2	bibliografiijaseattet	bˈib.lio.grˌɑ.fiː.jɑ>.sĕɑt.tet
bibliografiija+N+Der/viđá+Adv	bibliografiijaviđá	bˈib.lio.grˌɑ.fiː.jɑ>»vˌi.ðá
bibliografiija+N+Der/Dimin+N+Der/viđá+Adv	bibliografiijašviđá	bˈib.lio.grˌɑ.fiː.jɑ»ʃ»vˌi.ðá
bibliografiija+N+Der/Dimin+N+Sg+Acc+PxDu1	bibliografiijažeame	bˈib.lio.grˌɑ.fiː.jɑ»žˌeɑ.me
