Ayrshire+N+Prop+Ess	Ayrshiren	ˈɑyr#shˌi.re>n
Ayrshire+N+Prop+Der/laš+A+Sg+Ill+PxDu1	Ayrshirelažžaseame	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.sĕæ.me
Ayrshire+N+Prop+Der/laš+A+Sg+Ill+PxPl2	Ayrshirelažžaseattet	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.sĕæt.teh
Ayrshire+N+Prop+Der/laš+A+Sg+Ill+PxSg2	Ayrshirelažžasat	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.sɑh
Ayrshire+N+Prop+Der/laš+A+Sg+Nom+PxSg1	Ayrshirelažžan	ˈɑyr#shˌi.re>.lɑdː.tʃɑn
Ayrshire+N+Prop+Der/laš+A+Sg+Nom+PxSg2	Ayrshirelažžat	ˈɑyr#shˌi.re>.lɑdː.tʃɑh
Ayrshire+N+Prop+Der/laš+A+Sg+Nom+PxSg3	Ayrshirelažžas	ˈɑyr#shˌi.re>.lɑdː.tʃɑs
Ayrshire+N+Prop+Der/laš+A+Ess+PxDu1	Ayrshirelažžaneame	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.nĕæ.me
Ayrshire+N+Prop+Der/laš+A+Ess+PxDu2	Ayrshirelažžaneatte	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.nĕæt.te
Ayrshire+N+Prop+Der/laš+A+Ess+PxDu3	Ayrshirelažžaneaskka	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.neæs.kɑ
Ayrshire+N+Prop+Der/laš+A+Ess+PxPl1	Ayrshirelažžaneamet	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.nĕæ.meh
Ayrshire+N+Prop+Der/laš+A+Ess+PxPl3	Ayrshirelažžaneaset	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.nĕæ.seh
Ayrshire+N+Prop+Der/laš+A+Ess+PxSg1	Ayrshirelažžanan	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.nɑn
Ayrshire+N+Prop+Der/laš+A+Ess+PxSg2	Ayrshirelažžanat	ˈɑyr#shˌi.re>.lɑdː.tʃɑ.nɑh
Ayrshire+N+Prop+Der/laš+A+Ess	Ayrshirelažžan	ˈɑyr#shˌi.re>.lɑdː.tʃɑn
Ayrshire+N+Prop+Der/laš+A+Sg+Ill	Ayrshirelažžii	ˈɑyr#shˌi.re>.lɑdː.tʃij
Ayrshire+N+Prop+Sg+Com	Ayrshiriin	ˈɑyr#shˌi.ri>in
Ayrshire+N+Prop+Sg+Ill	Ayrshirii	ˈɑyr#shˌi.ri>i
Buckinghamshire+N+Prop+Ess	Buckinghanshiren	pˈuts.king.hɑn#shˌi.re>n
Buckinghamshire+N+Prop+Sg+Acc	Buckinghanshire	pˈuts.king.hɑn#shˌi.re>
Buckinghamshire+N+Prop+Sg+Gen	Buckinghanshire	pˈuts.king.hɑn#shˌi.re>
Buckinghamshire+N+Prop+Sg+Nom	Buckinghanshire	pˈuts.king.hɑn#shˌi.re>
Buckinghamshire+N+Prop+Sg+Loc	Buckinghanshires	pˈuts.king.hɑn#shˌi.re>s
Buckinghamshire+N+Prop+Der/laš+A+Pl+Acc+PxDu2	Buckinghanshirelaččaideatte	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑj.dĕæt.te
Buckinghamshire+N+Prop+Der/laš+A+Pl+Acc+PxPl3	Buckinghanshirelaččaideaset	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑj.dĕæ.seh
Buckinghamshire+N+Prop+Der/laš+A+Pl+Acc+PxSg3	Buckinghanshirelaččaidis	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑj.dis
Buckinghamshire+N+Prop+Der/laš+A+Pl+Ill	Buckinghanshirelaččaide	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑj.de
Buckinghamshire+N+Prop+Der/laš+A+Pl+Nom	Buckinghanshirelaččat	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Acc+PxDu2	Buckinghanshirelaččade	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑ.de
Buckinghamshire+N+Prop+Der/laš+A+Sg+Acc+PxPl2	Buckinghanshirelaččadet	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑ.deh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Acc+PxPl3	Buckinghanshirelaččaset	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑ.seh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Com+PxDu2	Buckinghanshirelaččaineatte	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑj.nĕæt.te
Buckinghamshire+N+Prop+Der/laš+A+Sg+Com+PxDu3	Buckinghanshirelaččaineaskka	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑj.neæs.kɑ
Buckinghamshire+N+Prop+Der/laš+A+Sg+Com+PxPl3	Buckinghanshirelaččaineaset	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑj.nĕæ.seh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Com+PxSg2	Buckinghanshirelaččainat	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑj.nɑh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Com	Buckinghanshirelaččain	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑjn
Buckinghamshire+N+Prop+Der/laš+A+Sg+Gen+PxPl2	Buckinghanshirelaččadet	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑ.deh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Gen	Buckinghanshirelačča	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑ
Buckinghamshire+N+Prop+Der/laš+A+Sg+Loc+PxPl1	Buckinghanshirelaččasteamet	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑs.tĕæ.meh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Loc+PxSg3	Buckinghanshirelaččastis	pˈuts.king.hɑn#shˌi.re>.lɑt.tʃɑs.tis
Buckinghamshire+N+Prop+Der/laš+A+Attr	Buckinghanshirelaš	pˈuts.king.hɑn#shˌi.re>.lɑʃ
Buckinghamshire+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Loc+PxPl2	Buckinghanshirelašvuođasteattet	pˈuts.king.hɑn#shˌi.re>.lɑʃ»vˌuo.ðɑs.tˌĕæt.teh
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/dávttat+A+Pl+Nom	Buckinghanshirelašdávttagat	pˈuts.king.hɑn#shˌi.re>.lɑʃ»dˌɑːvht.tɑ.gɑh
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/ivnnat+A+Pl+Nom	Buckinghanshirelašivnnagat	pˈuts.king.hɑn#shˌi.re>.lɑʃ»ˌivn.nɑ.gɑh
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/ivnnat+A+Der/vuohta+N+Sg+Loc	Buckinghanshirelašivnnatvuođas	pˈuts.king.hɑn#shˌi.re>.lɑʃ»ˌivn.nɑh»vˌuo.ðɑs
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/jierpmat+A+Sg+Gen	Buckinghanshirelašjierpmaga	pˈuts.king.hɑn#shˌi.re>.lɑʃ»jˌierp.mɑ.gɑ
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/lahkat+A+Sg+Acc	Buckinghanshirelašlahkaga	pˈuts.king.hɑn#shˌi.re>.lɑʃ»lˌɑh.kɑ.gɑ
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/namat+A+Attr	Buckinghanshirelašnamat	pˈuts.king.hɑn#shˌi.re>.lɑʃ»nˌɑ.mɑh
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/nálat+A+Der/vuohta+N+Sg+Ill	Buckinghanshirelašnálatvuhtii	pˈuts.king.hɑn#shˌi.re>.lɑʃ»nˌɑː.lɑh»vˌuh.tij
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/pláhtat+A+Attr	Buckinghanshirelašpláhtat	pˈuts.king.hɑn#shˌi.re>.lɑʃ»plˌɑːh.tɑh
Buckinghamshire+N+Prop+Der/laš+A+AttrCmp+Der/čielggat+A+Pl+Gen	Buckinghanshirelaščielggagiid	pˈuts.king.hɑn#shˌi.re>.lɑʃ»tʃˌielk.kɑ.gijh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Nom	Buckinghanshirelaš	pˈuts.king.hɑn#shˌi.re>.lɑʃ
Buckinghamshire+N+Prop+Der/laš+A+Sg+Acc+PxPl1	Buckinghanshirelažžamet	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑ.meh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Acc+PxSg1	Buckinghanshirelažžan	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑn
Buckinghamshire+N+Prop+Der/laš+A+Sg+Gen+PxDu1	Buckinghanshirelažžame	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑ.me
Buckinghamshire+N+Prop+Der/laš+A+Sg+Gen+PxPl1	Buckinghanshirelažžamet	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑ.meh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Ill+PxDu3	Buckinghanshirelažžaseaskka	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑ.seæs.kɑ
Buckinghamshire+N+Prop+Der/laš+A+Sg+Nom+PxDu2	Buckinghanshirelažžade	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑ.de
Buckinghamshire+N+Prop+Der/laš+A+Sg+Nom+PxPl1	Buckinghanshirelažžamet	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑ.meh
Buckinghamshire+N+Prop+Der/laš+A+Ess+PxPl1	Buckinghanshirelažžaneamet	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑ.nĕæ.meh
Buckinghamshire+N+Prop+Der/laš+A+Ess+PxPl2	Buckinghanshirelažžaneattet	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃɑ.nĕæt.teh
Buckinghamshire+N+Prop+Der/laš+A+Sg+Ill	Buckinghanshirelažžii	pˈuts.king.hɑn#shˌi.re>.lɑdː.tʃij
Buckinghamshire+N+Prop+Sg+Com	Buckinghanshiriin	pˈuts.king.hɑn#shˌi.ri>in
Buckinghamshire+N+Prop+Sg+Ill	Buckinghanshirii	pˈuts.king.hɑn#shˌi.ri>i
Chattanooga+N+Prop+Ess	Chattanoogan	tshˈɑtː.tɑː.nˌo.o.gɑ>n
Chattanooga+N+Prop+Sg+Acc	Chattanooga	tshˈɑtː.tɑː.nˌo.o.gɑ>
Chattanooga+N+Prop+Sg+Gen	Chattanooga	tshˈɑtː.tɑː.nˌo.o.gɑ>
Chattanooga+N+Prop+Sg+Nom	Chattanooga	tshˈɑtː.tɑː.nˌo.o.gɑ>
Chattanooga+N+Prop+Sg+Com	Chattanoogain	tshˈɑtː.tɑː.nˌo.o.gɑ>in
Chattanooga+N+Prop+Sg+Ill	Chattanoogai	tshˈɑtː.tɑː.nˌo.o.gɑ>i
Chattanooga+N+Prop+Sg+Loc	Chattanoogas	tshˈɑtː.tɑː.nˌo.o.gɑ>s
Chattanooga+N+Prop+Der/laš+A+Pl+Acc+PxDu1	Chattanoogalaččaideame	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.dĕæ.me
Chattanooga+N+Prop+Der/laš+A+Pl+Acc+PxSg1	Chattanoogalaččaidan	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.dɑn
Chattanooga+N+Prop+Der/laš+A+Pl+Acc+PxSg2	Chattanoogalaččaidat	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.dɑh
Chattanooga+N+Prop+Der/laš+A+Pl+Com+PxDu3	Chattanoogalaččaideaskkaguin	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.deæs.kɑ.gujn
Chattanooga+N+Prop+Der/laš+A+Pl+Gen+PxDu3	Chattanoogalaččaideaskka	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.deæs.kɑ
Chattanooga+N+Prop+Der/laš+A+Pl+Gen+PxPl2	Chattanoogalaččaideattet	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.dĕæt.teh
Chattanooga+N+Prop+Der/laš+A+Pl+Gen+PxSg3	Chattanoogalaččaidis	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.dis
Chattanooga+N+Prop+Der/laš+A+Pl+Ill+PxPl2	Chattanoogalaččaidasadet	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.dɑ.sɑ.deh
Chattanooga+N+Prop+Der/laš+A+Pl+Ill	Chattanoogalaččaide	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.de
Chattanooga+N+Prop+Der/laš+A+Pl+Nom+PxPl1	Chattanoogalaččaideamet	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.dĕæ.meh
Chattanooga+N+Prop+Der/laš+A+Pl+Nom+PxSg1	Chattanoogalaččaidan	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.dɑn
Chattanooga+N+Prop+Der/laš+A+Pl+Nom	Chattanoogalaččat	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑh
Chattanooga+N+Prop+Der/laš+A+Sg+Acc+PxPl3	Chattanoogalaččaset	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑ.seh
Chattanooga+N+Prop+Der/laš+A+Sg+Acc+PxSg3	Chattanoogalaččas	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑs
Chattanooga+N+Prop+Der/laš+A+Sg+Acc	Chattanoogalačča	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑ
Chattanooga+N+Prop+Der/laš+A+Sg+Com+PxPl3	Chattanoogalaččaineaset	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.nĕæ.seh
Chattanooga+N+Prop+Der/laš+A+Sg+Com+PxSg1	Chattanoogalaččainan	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑj.nɑn
Chattanooga+N+Prop+Der/laš+A+Sg+Gen+PxDu3	Chattanoogalaččaska	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑs.kɑ
Chattanooga+N+Prop+Der/laš+A+Sg+Loc	Chattanoogalaččas	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑs
Chattanooga+N+Prop+Der/laš+A+Sg+Loc+PxPl2	Chattanoogalaččasteattet	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑt.tʃɑs.tĕæt.teh
Chattanooga+N+Prop+Der/laš+A+Attr	Chattanoogalaš	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ
Chattanooga+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Chattanoogalašvuhtii	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»vˌuh.tij
Chattanooga+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill+PxSg1	Chattanoogalašvuohtasan	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»vˌuoh.tɑ.sɑn
Chattanooga+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Pl+Loc+PxDu2	Chattanoogalašvuođaineatte	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»vˌuo.ðɑj.nˌĕæt.te
Chattanooga+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Pl+Nom+PxPl3	Chattanoogalašvuođaideaset	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»vˌuo.ðɑj.dˌĕæ.seh
Chattanooga+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Acc+PxDu3	Chattanoogalašvuođaska	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»vˌuo.ðɑs.kɑ
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/asat+A+Attr	Chattanoogalašasat	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»ˌɑ.sɑh
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/asat+A+Sg+Nom	Chattanoogalašasat	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»ˌɑ.sɑh
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/bánat+A+Sg+Nom	Chattanoogalašbánat	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»bˌɑː.nɑh
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/dásat+A+Der/vuohta+N+Sg+Ill	Chattanoogalašdásatvuhtii	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»dˌɑː.sɑh»vˌuh.tij
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/fárddat+A+Pl+Ill	Chattanoogalašfárddagiidda	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»fˌɑːrt.tɑ.gˌijt.tɑ
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/gieškkat+A+Ess	Chattanoogalašgieškkagin	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»gˌieʃ.kɑ.gin
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/gilggat+A+Der/vuohta+N+Sg+Nom+PxSg1	Chattanoogalašgilggatvuohtan	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»gˌilk.kɑh»vˌuoh.tɑn
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/guvllot+A+Ess	Chattanoogalašguvllogin	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»gˌuvl.lo.gin
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/kultuvrrat+A+Der/vuohta+N+Sg+Ill	Chattanoogalaškultuvrratvuhtii	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»kˌul.htuvr.rɑh»vˌuh.tij
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/njunat+A+Der/vuohta+N+Sg+Loc	Chattanoogalašnjunatvuođas	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»ɲˌu.nɑh»vˌuo.ðɑs
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/pláhtat+A+Sg+Ill	Chattanoogalašpláhtagii	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»plˌɑːh.tɑ.gij
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/ravddat+A+Sg+Gen	Chattanoogalašravddaga	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»rˌɑvt.tɑ.gɑ
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/uvssot+A+Pl+Nom	Chattanoogalašuvssogat	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»ˌuvs.so.gɑh
Chattanooga+N+Prop+Der/laš+A+AttrCmp+Der/vigat+A+Sg+Nom	Chattanoogalašvigat	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ»vˌi.gɑh
Chattanooga+N+Prop+Der/laš+A+Sg+Nom	Chattanoogalaš	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑʃ
Chattanooga+N+Prop+Der/laš+A+Sg+Gen+PxDu1	Chattanoogalažžame	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑdː.tʃɑ.me
Chattanooga+N+Prop+Der/laš+A+Sg+Ill+PxPl1	Chattanoogalažžaseamet	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑdː.tʃɑ.sĕæ.meh
Chattanooga+N+Prop+Der/laš+A+Sg+Nom+PxPl1	Chattanoogalažžamet	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑdː.tʃɑ.meh
Chattanooga+N+Prop+Der/laš+A+Ess+PxDu3	Chattanoogalažžaneaskka	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑdː.tʃɑ.neæs.kɑ
Chattanooga+N+Prop+Der/laš+A+Ess+PxSg2	Chattanoogalažžanat	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑdː.tʃɑ.nɑh
Chattanooga+N+Prop+Der/laš+A+Sg+Ill	Chattanoogalažžii	tshˈɑtː.tɑː.nˌo.o.gɑ>.lɑdː.tʃij
Cyaneed+N+Prop+Ess	Cyaneedan	tsˈy.ɑ.nˌe.e.d>ɑn
Cyaneed+N+Prop+Sg+Acc	Cyaneed	tsˈy.ɑ.nˌe.ed>
Cyaneed+N+Prop+Sg+Gen	Cyaneed	tsˈy.ɑ.nˌe.ed>
Cyaneed+N+Prop+Sg+Nom	Cyaneed	tsˈy.ɑ.nˌe.ed>
Cyaneed+N+Prop+Sg+Acc	Cyaneeda	tsˈy.ɑ.nˌe.e.d>ɑ
Cyaneed+N+Prop+Sg+Com	Cyaneedain	tsˈy.ɑ.nˌe.e.d>ɑjn
Cyaneed+N+Prop+Sg+Gen	Cyaneeda	tsˈy.ɑ.nˌe.e.d>ɑ
Cyaneed+N+Prop+Sg+Loc	Cyaneedas	tsˈy.ɑ.nˌe.e.d>ɑs
Cyaneed+N+Prop+Sg+Ill	Cyaneedii	tsˈy.ɑ.nˌe.e.d>ij
