Aachen+N+Prop+Ess	Aachenin	ˈɑːts.he.n>in
Ainettijoki+N+Prop+Sg+Com	Ainettijokiin	ˈɑj.net.ti#jˌo.ki>in
Ainettijoki+N+Prop+Sg+Loc	Ainettijokis	ˈɑj.net.ti#jˌo.ki>s
Ainovarppanen+N+Prop+Ess	Ainovarppanenin	ˈɑj.no.vˌɑrp.pɑ>.ne.nin
Ainovarppanen+N+Prop+Sg+Loc	Ainovarppanenis	ˈɑj.no.vˌɑrp.pɑ>.ne.nis
Airaksinen+N+Prop+Sem/Sur+Pl+Loc	Airaksineniin	ˈɑjː.rɑkː.si>.ne.nijn
Airola+N+Prop+Sem/Sur+Pl+Gen	Airolaid	ˈɑjː.ro.lɑ>id
Aitola+N+Prop+Sem/Sur+Pl+Nom	Aitolat	ˈɑjː.to.lɑ>h
Aitola+N+Prop+Sem/Sur+Sg+Nom	Aitola	ˈɑjː.to.lɑ>
Akkanen+N+Prop+Sem/Sur+Sg+Acc	Akkanena	ˈɑk.kɑ>.ne.nɑ
Akkanen+N+Prop+Sem/Sur+Ess	Akkasin	ˈɑk.kɑ>.sin
Akkanen+N+Prop+Sem/Sur+Pl+Nom	Akkasat	ˈɑk.kɑ>.sɑh
Akkanen+N+Prop+Sem/Sur+Pl+Ill	Akkasiidda	ˈɑk.kɑ>.sijt.tɑ
Akkanen+N+Prop+Sem/Sur+Sg+Acc	Akkasa	ˈɑk.kɑ>.sɑ
Akkila+N+Prop+Sem/Sur+Pl+Nom	Akkilat	ˈɑk.ki.lɑ>h
Akkila+N+Prop+Sem/Sur+Sg+Acc	Akkila	ˈɑk.ki.lɑ>
Akujärvi+N+Prop+Sem/Sur+Ess	Akujärvn	ˈɑ.ku#jærv>n
Akujärvi+N+Prop+Sem/Sur+Pl+Com	Akujärvjguin	ˈɑ.ku#jærv>jgujn
Akujärvi+N+Prop+Sem/Sur+Pl+Loc	Akujärvjn	ˈɑ.ku#jærv>jn
Akujärvi+N+Prop+Sem/Sur+Sg+Nom	Akujärv	ˈɑ.ku#jærv>
Akujärvi+N+Prop+Sem/Sur+Sg+Com	Akujärvjn	ˈɑ.ku#jærv>jn
Akujärvi+N+Prop+Sem/Sur+Sg+Loc	Akujärvs	ˈɑ.ku#jærv>s
Akvila+N+Prop+Ess	Akvilan	ˈɑk.vi.lɑ>n
Akvila+N+Prop+Sg+Com	Akvilain	ˈɑk.vi.lɑ>in
Alajärvi+N+Prop+Sg+Loc	Alajärvs	ˈɑ.lɑ#jærv>s
Alakangas+N+Prop+Ess	Alakangasin	ˈɑ.lɑ#kˌɑŋ.ŋɑ.s>in
Alasaari+N+Prop+Sem/Sur+Sg+Loc	Alasaaris	ˈɑ.lɑ#sˌɑː.ri>s
Alestalo+N+Prop+Sem/Sur+Ess	Alestalon	ˈɑ.les#tˌɑ.lo>n
Alikoski+N+Prop+Sem/Sur+Sg+Gen	Alikoski	ˈɑ.li#kˌosː.ki>
Alikoski+N+Prop+Sem/Sur+Sg+Nom	Alikoski	ˈɑ.li#kˌosː.ki>
Alila+N+Prop+Sg+Loc	Alilas	ˈɑ.li.lɑ>s
Alkula+N+Prop+Sem/Sur+Ess	Alkulan	ˈɑlː.ku.lɑ>n
Alkula+N+Prop+Sem/Sur+Pl+Acc	Alkulaid	ˈɑlː.ku.lɑ>id
Alkula+N+Prop+Sem/Sur+Pl+Gen	Alkulaid	ˈɑlː.ku.lɑ>id
Allinen+N+Prop+Sem/Sur+Pl+Nom	Allisat	ˈɑl.li>.sɑh
Allinen+N+Prop+Sem/Sur+Pl+Ill	Allisiidda	ˈɑl.li>.sijt.tɑ
Allonen+N+Prop+Sem/Sur+Pl+Loc	Alloneniin	ˈɑl.lo>.ne.nijn
Allonen+N+Prop+Sem/Sur+Sg+Com	Alloneniin	ˈɑl.lo>.ne.nijn
Allonen+N+Prop+Sem/Sur+Ess	Allosin	ˈɑl.lo>.sin
Allonen+N+Prop+Sem/Sur+Sg+Com	Allosiin	ˈɑl.lo>.sijn
Allonen+N+Prop+Sem/Sur+Sg+Loc	Allosis	ˈɑl.lo>.sis
Alonen+N+Prop+Sem/Sur+Pl+Gen	Alosiid	ˈɑ.lo>.sijh
Alonen+N+Prop+Sem/Sur+Sg+Gen	Alosa	ˈɑ.lo>.sɑ
Altoona+N+Prop+Sg+Loc	Altoonas	ˈɑlː.toː.nɑ>s
Amaranta+N+Prop+Sem/Fem+Pl+Nom	Amarantat	ˈɑ.mɑ.rˌɑnː.tɑ>h
Amaranta+N+Prop+Sem/Fem+Sg+Gen	Amaranta	ˈɑ.mɑ.rˌɑnː.tɑ>
Amaranta+N+Prop+Sem/Fem+Sg+Com	Amarantain	ˈɑ.mɑ.rˌɑnː.tɑ>in
Amaranta+N+Prop+Sem/Fem+Attr	Amaranta	ˈɑ.mɑ.rˌɑnː.tɑ>
Amaranta+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Amarantaš	ˈɑ.mɑ.rˌɑnː.tɑ>ʃ
Amaranta+N+Prop+Sem/Fem+Der/Dimin+Pl+Nom	Amarantažat	ˈɑ.mɑ.rˌɑnː.tɑ>.žɑh
Angola+N+Prop+Ess	Angolan	ˈɑŋ.ŋo.lɑ>n
Angola+N+Prop+Sg+Nom	Angola	ˈɑŋ.ŋo.lɑ>
Angola+N+Prop+Sg+Com	Angolain	ˈɑŋ.ŋo.lɑ>in
Angola+N+Prop+Sg+Loc	Angolas	ˈɑŋ.ŋo.lɑ>s
Anjala+N+Prop+Ess	Anjalan	ˈɑnː.jɑ.lɑ>n
Anjala+N+Prop+Sg+Gen	Anjala	ˈɑnː.jɑ.lɑ>
Anjala+N+Prop+Sg+Nom	Anjala	ˈɑnː.jɑ.lɑ>
Anjala+N+Prop+Sg+Loc	Anjalas	ˈɑnː.jɑ.lɑ>s
Annala+N+Prop+Sem/Sur+Pl+Gen	Annalaid	ˈɑn.nɑ.lɑ>id
Ansamaa+N+Prop+Sem/Sur+Pl+Gen	Ansamaaid	ˈɑnː.sɑ#mɑː>id
Ansamaa+N+Prop+Sem/Sur+Pl+Nom	Ansamaat	ˈɑnː.sɑ#mɑː>h
Ansamaa+N+Prop+Sem/Sur+Sg+Gen	Ansamaa	ˈɑnː.sɑ#mɑː>
Ansamaa+N+Prop+Sem/Sur+Sg+Ill	Ansamaai	ˈɑnː.sɑ#mɑː>i
Ansamaa+N+Prop+Sem/Sur+Sg+Loc	Ansamaas	ˈɑnː.sɑ#mɑː>s
Anteroinen+N+Prop+Sem/Sur+Sg+Ill	Anteroisii	ˈɑnː.te.roj>.sij
Anuntivuoma+N+Prop+Sg+Acc	Anuntivuoma	ˈɑ.nunː.tˌi.vuo.mɑ>
Anuntivuoma+N+Prop+Sg+Loc	Anuntivuomas	ˈɑ.nunː.tˌi.vuo.mɑ>s
Arajärvi+N+Prop+Sem/Sur+Pl+Gen	Arajärvjd	ˈɑ.rɑ#jærv>jd
Arajärvi+N+Prop+Sem/Sur+Sg+Acc	Arajärv	ˈɑ.rɑ#jærv>
Arajärvi+N+Prop+Sem/Sur+Sg+Nom	Arajärv	ˈɑ.rɑ#jærv>
Arajärvi+N+Prop+Sem/Sur+Sg+Com	Arajärvjn	ˈɑ.rɑ#jærv>jn
Arajärvi+N+Prop+Sem/Sur+Sg+Ill	Arajärvj	ˈɑ.rɑ#jærv>j
Arkangela+N+Prop+Sem/Fem+Ess	Arkangelan	ˈɑrː.kɑn.gˌe.lɑ>n
Arkangela+N+Prop+Sem/Fem+Pl+Gen	Arkangelaid	ˈɑrː.kɑn.gˌe.lɑ>id
Arkangela+N+Prop+Sem/Fem+Sg+Com	Arkangelain	ˈɑrː.kɑn.gˌe.lɑ>in
Arkangela+N+Prop+Sem/Fem+Sg+Loc	Arkangelas	ˈɑrː.kɑn.gˌe.lɑ>s
Arkangela+N+Prop+Sem/Fem+Attr	Arkangela	ˈɑrː.kɑn.gˌe.lɑ>
Arkangela+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Arkangelaš	ˈɑrː.kɑn.gˌe.lɑ>ʃ
Aromaa+N+Prop+Sem/Sur+Ess	Aromaan	ˈɑ.ro#mɑː>n
Aromaa+N+Prop+Sem/Sur+Sg+Com	Aromaain	ˈɑ.ro#mɑː>in
Aromäki+N+Prop+Sem/Sur+Sg+Ill	Aromäkj	ˈɑ.ro#mæk>j
Arpiainen+N+Prop+Sem/Sur+Ess	Arpiainenin	ˈɑrː.pi.ɑj>.ne.nin
Arponen+N+Prop+Sem/Sur+Sg+Acc	Arponen	ˈɑrː.po>.nen
Arvela+N+Prop+Sem/Sur+Pl+Gen	Arvelaid	ˈɑrː.ve.lɑ>id
Arvela+N+Prop+Sem/Sur+Sg+Loc	Arvelas	ˈɑrː.ve.lɑ>s
Arvinen+N+Prop+Sem/Sur+Sg+Acc	Arvinen	ˈɑrː.vi>.nen
Arvonen+N+Prop+Sem/Sur+Sg+Acc	Arvosa	ˈɑrː.vo>.sɑ
Asikainen+N+Prop+Sem/Sur+Ess	Asikainenin	ˈɑ.si.kɑj>.ne.nin
Asikainen+N+Prop+Sem/Sur+Ess	Asikaisin	ˈɑ.si.kɑj>.sin
